;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final
147;881;auto - auto;comprometida;asegurado circulando martin castro maniobra girar izquierda rivadavia colisionado lateral delantero izquierdo lateral trasero derecho tercero circulaba rivadavia capital federal luego asegurado colisionado lateral izquierdo parte delantera tercero circulaba rivadavia 
148;885;auto - auto;comprometida;venia libertador veo habia auto detenido semaforo momento freno llovia auto patino siguio pude evitar embestir tercero parte trasera parte delanterael tercero iba solo bajo mareado acompane hospital san isidro
149;886;auto - auto;concurrente;asegurado circulaba balbin interseccion uriarte gira hacia izquierda semaforo tercero circulaba direccion contraria embiste parte delantera derecha lateral derecho vehiculo asegurado desplaza subiendo vereda impactando parte trasera derecha poste luz asegurado hijo ocupante tercero sufren lesiones trasladados hospital larcade 
150;887;auto - auto;comprometida;mecanica hecho segun version asegurado dirigia aquino norte sur llego olivera choco vehiculo delante mio parte trasera mecanica hecho segun tercero denuncia circulaba aquino freno llegar olivera transito embestido atras tercero frenod
151;900;auto - auto;comprometida;mecanica hecho segun version asegurado vehiculo asegurado circulando carril rapido aut panamericana altura campana trafico vehiculos van frenando tercero corolla circulaba derecha pone guino cambiar carril derecha termina ingresando izquierda delante vehiculo asegurado maniobra brusca delante tercero carril rapido tercero frena produce choque terceros asegurado trata esquivarlo embiste parte frontal parte trasera derecha tercero corolla mete delante resultan lesionados acompanantes vehiculo asegurado lesion muneca dolor acompanante tercero corolla dolor 
152;917;auto - auto;discutida;mecanica hecho segun version asegurado circulaba ruta provincial llegando algarrobo verifico auto venia ultima arranca queda parada medio ruta situacion hago maniobra freno camioneta derrapa embisto ero parte trasera izquierda parte delantera izquierda ero iba acompanantes trasladado hacia hospital asegurado sufrio lesiones cervicalesd 
153;922;auto - auto;sin responsabilidad;circulaba carlos gardel llegar ruta ex da paso automvil marca ford falcon entrar ruta tocon lateral automvil perdiendo control auto termino envistiendo trompa camioneta encontraba atras auto mencionado d
154;940;auto - auto;comprometida;delante frena puedo evitar impactarlo parte delantera parte trasera tercero desplaza hacia delante impactando parte delantera parte trasera b tercero acompanante b tercero sufrieron policontusion estudio acompanante pareja masculino lucas cebey policontusion b tercero datos desconozco danos realizaron estudios centro traumatolgia san isidro involucrado lesionados datos tercero gaeiro camila maria eugenia renault clio fno mercantil andina
155;942;auto - auto;comprometida;vena diaz velez llegando rafaela tena camin delante cruzan semaforo diagonal izquierda semaforo pense q semaforo giro pone giro paso camin q obstrua paso viniendo peugeot frente n freno vio envesti
156;943;auto - auto;discutida;circulando cno gral belgrano contraria viene tercero choca caballo vehiculo termina embistiendome parte delantera
157;948;auto - auto;comprometida;circulando melian superando interseccion andes b bicicleta venia ultima izquierda sigue marcha verme poder ezquivarlo parte delantera cae piso llame same trasladaron trauma atendio condiciones pasamos datos retire hacer denuncia posibles lesiones comisaria mas terceros ninvolucrados lesionados datos tercero cardozo matias miguel jesus
158;949;auto - auto;comprometida;circulaba ingeniero white esquina gardel adelante frena golpe camioneta honda da tiempo frenar choco iban personas
159;950;auto - auto;comprometida;asegurado circulaba nahuel huapi cruzar ruta otero colisionado parte lateral izquierda parte delantera tercero circulaba ultima mencionada aparentemente alta velocidad lesiones desplazamientos
160;963;auto - auto;comprometida;vehiculo asegurado circulando hipoilito irigoyen esquina lucena lomas zamora tercero circulaba delante asegurado frena golpe previo aviso asegurado llega reducir velocir velocidad colisiona parte frontal parte trasera tercero raz tercero circulaba detras asegurado colisiona parte frontal parte trasera asegurado desplazamientos lesionados control policial dano faltante
161;966;auto - auto;comprometida;venia ruta eva peron llegar interseccin vehculo frena golpe encontrandome distancia prudencial alcanzo frenar tiempo colision parte trasera
162;967;auto - auto;comprometida;circulaba juan b justo lloviendo tercero delante mio detenido semaforo problema frenos embesti parte trasera izquierda parte delantera terceros involucrados lesionados datos tercero fernandez leandro matias vw gol trend lke seguros
163;973;auto - auto;comprometida;circulaba ruta freno colisiono vehiculo delante mio
164;976;auto - auto;comprometida;aseg circulaba rio janeiro palio circulaba delante colisiona queda detenido aseg llega frenar colisiona parte delantera parte trasera palio luego aseg colisionado parte trasera parte delantera suran circulaba detras lesionados
165;987;auto - auto;concurrente;vehiculo asegurado circulaba colectora sur cruzar ruta colisionado lateral derecho frente tercero circulaba ultima vehiculo asegurado golpea lateral izquierdo cordon vuelca asegurado conductora vehiculo sufren golpes trasladados htal moreno mas desplazamientos
166;989;auto - auto;discutida;diriga centenera detengo semaforo doblar asamblea izquierda embiste auto atras venia gran velocidad
167;993;auto - auto;comprometida;circulando san martin tercero misma delante asegurado dispone girar aseg colisiona frente parte trasera tercero lesionados desplazamientos unidades
168;995;auto - auto;comprometida;redgreenlue aseg circulando jorge luis borges llegar interseccion santa teresa tercero circulaba ultima mencionada derecha hacia izquierda atraviesa aseg logra detener marcha produciendo asi parte delantera lateral trasero izquierdo tercero personas lesionadas desplazamientosmecanica segdan tercero iba circulando santa teresa intercesion jose luis borges fuienvestido paragolpe rueda guardabarros lado izquierdo danos auto chapa pintura
169;996;auto - auto;concurrente;circulando battle ordonez llegar int santa isabel tercero circula ultima derecha embiste frente lateral derechopuerta parante guardabarro delantero derecho asegurado acompanante asegurado resulto golpe presencia lugar desplazamientosd
170;998;auto - auto;concurrente;asegurado circulabapor salta interseccion noviembre colisiona tercero circulaba ultima derecha resultan personas vehiculo lesionadas sra asegurado 
171;1009;auto - auto;comprometida;circulando plata doblar izquierda ingresar storni colisiono parte delantera derecha lateral izquierdo tercero venia ultima desp
172;1010;auto - auto;comprometida;estabamos parados esperando ponga semafoto asamblea arrancamos llevo puesto auto adelante circulo mas despacio
173;1014;auto - auto;comprometida;redgreenlue circulaba virrey cisneros hacia bermejo llegando esquina vehiculo adelante frena bruscamente darme tiempo frene choco trompa parte tracera 
174;1016;auto - auto;comprometida;asegurado circulando eva peron embiste parte delantera tercero parte trasera detenido semaforo lesionados informa desplazamientos
175;1020;auto - auto;comprometida;aseg circulando ruta colisiona tercero circulaba misma ruta frena forma abrupta habia realizado maniobra doblar hacia abrian izquierda giro izquierda permitido asegurado impacta parte delantera parte trasera tercero vez asegurado colisionado lateral trasero derecho lateral delantero izquierdo venia detras dandose fuga lesiones
176;1022;auto - auto;comprometida;veniamos santa rosa yendo rivadavia suran azul patente plo freno golpe detaras venia vw fox patende fzp detras colicionamos debido pavimento humedo solo toque paragolpes fox provocando dano mismo
177;1039;auto - auto;comprometida;camioneta patente aatz subida garage ingresar detiene ford fiesta patente kqnal subirme aprieto embriague pendiente considerando tan atras causando abolladura puerta trasera izquierda bajando vehiculo apreto puerta
178;1041;auto - auto;comprometida;asegurado encontraba circulando ruta tercero vena misma ruta mismo tercero vena delante asegurado frena golpe auto delante asegurado frena llega hacerlo completamente impacta parte delantera parte trasera tercero quej dolor dedo asegurado sufri golpes latigazo choque desplazamiento
179;1050;auto - auto;comprometida;asegurado circulando aristbulo valle interseccin vera embiste parte delantera derecha tercero parte lateral trasera izquierda desplazamientos acompanante pasajero vehculo tercero sufri lesiones 
180;1053;auto - auto;comprometida;frenada imprevista vehculo precede
181;1055;auto - auto;comprometida;choque san martin empedrado salimos semaforo paro golpe adelante
182;1057;auto - auto;concurrente;asegurado independencia tercero izquierda carril colisionando parte delantera izquierda va detener vuelve colisionar frente lesionados desplazamientos denuncia segun tercero circulaba carril vehiculo tercero choco parte trasera derecha provoc semitrompo vuelve chocarme lateral derecho recib atencin medica propios medios danos guardabarro trasero farol trasero tapa baul trasera puertas laterales derechas tercero fiat siena sedan fire aa modelo patente mbu cond jose jonas velasco mejia velasco dni cel asegurado pulido velasco edicson edir compania
183;1065;auto - auto;concurrente;detenida kant doblar pasco espero corte semaforo pasco pone cruzo camioneta emiste lateral izquierdo aseg lesionesvarios cortes realizaron puntos acompanante tambien trasladado hospital
184;1078;auto - auto;comprometida;mecanica hecho segdan version asegurado asegurado circulando ianone vehiculo tercero viene alvear ambas colisionan esquina parte delantera derecha parte izquierda lateral frente vehiculo tercero desplazamiento tercero vehiculo lesion 
185;1088;auto - auto;comprometida;circulaba liniers llegar acceso ramal tigre vi auto frenado choco atras aclaro lloviendo visin reducida
186;1101;auto - auto;nan;aseguraco circulando ricchieri habia colectivo detenido costado vereda baja asfalto persona puerta trasera lleva delante lateral izquierdo cliente cae piso 
187;1109;auto - auto;comprometida;asegurado ohiggins alcanza frenar colisiona parte trasera tercero circulaba adelante acompanante asegurado mareos tercero lesionados desplazamiento intervencion policial
188;1116;auto - auto;discutida;tercero circulando triunvirato tercero colisiona lateral izquierda delantero lateral derecho desplazamientosd
189;1117;auto - auto;nan;asegurado circulando aut panamericana colisiona tercero detenido misma autopista debido choque habia lugar impactando parte delantera parte trasera tercero tercero presentaba molestias desplazamientos
190;1122;auto - auto;comprometida;asegurado circulando reconquista interseccin sargento cabral tercero circulaba sargento cabral embiste lateral izquierda asegurado parte delantera vehiculo tercero sufre lesiones 
191;1132;auto - auto;nan;vehiculo asegurado circulaba rivadavia cruzar pergamino colisiona frente lateral trasero izquierdo tercero cruzaba pergamino lesiones desplazamientos
192;1159;auto - auto;nan;estabamos esperando semaforo fila patino embrague choque auto adelante mio frenamos pedimos respectivos seguros joven maximiliano daniel rosas auto chocado mencion dola cuellod
