;Unnamed: 0;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final;Spacy Lemma-Pos
164;164;228;auto - moto;comprometida;asegurado estacionar motoquero subiendo moto vereda asegurado ve sigue estacionando choca moto cae piso tambien desplazamientos contactamos v asegurado ;[('asegurar', 'ADJ'), ('estacionar', 'VERB'), ('motoquero', 'NOUN'), ('subir', 'VERB'), ('moto', 'PROPN'), ('vereda', 'PROPN'), ('asegurar', 'ADJ'), ('ver', 'VERB'), ('seguir', 'AUX'), ('estacionar', 'VERB'), ('chocar', 'VERB'), ('moto', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('tambien', 'ADV'), ('desplazamiento', 'NOUN'), ('contactar', 'VERB'), ('v', 'CCONJ'), ('asegurar', 'ADJ')]
165;165;229;auto - moto;comprometida;circulaba alem cruzar asconape colisiono moto circulaba ultima derecha parte delantera derecha motociclista acompanante ambos caen suelo ;[('circular', 'AUX'), ('alem', 'PROPN'), ('cruzar', 'VERB'), ('asconape', 'PROPN'), ('colisionar', 'PROPN'), ('moto', 'PROPN'), ('circular', 'AUX'), ('ultimar', 'ADJ'), ('derecho', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'NOUN'), ('motociclista', 'ADJ'), ('acompanante', 'ADJ'), ('ambos', 'NUM'), ('caer', 'AUX'), ('soler', 'NOUN')]
166;166;231;auto - moto;comprometida;circulando manuela dorrego enciendo luz giro comienzo doblar izquierda tomar guarani momento motocicleta solo ocupante impacta puerta delantera izquierda cayo piso reincorporo propios medios quiso intercambiar datos retiro lugar moto intervencion policial datos tercero desconoce datos ampliamos v asegurado ;[('circular', 'VERB'), ('manuela', 'PROPN'), ('dorrego', 'NOUN'), ('encender', 'VERB'), ('luz', 'PROPN'), ('girar', 'PROPN'), ('comenzar', 'PROPN'), ('doblar', 'PROPN'), ('izquierdo', 'PROPN'), ('tomar', 'VERB'), ('guarani', 'PROPN'), ('momento', 'NOUN'), ('motocicleta', 'INTJ'), ('solo', 'ADV'), ('ocupante', 'ADJ'), ('impactar', 'ADJ'), ('puerta', 'NOUN'), ('delantero', 'ADJ'), ('izquierdo', 'ADJ'), ('cayo', 'PROPN'), ('pisar', 'PROPN'), ('reincorporar', 'PROPN'), ('propio', 'DET'), ('medio', 'NOUN'), ('querer', 'VERB'), ('intercambiar', 'VERB'), ('dato', 'NOUN'), ('retirar', 'PROPN'), ('lugar', 'NOUN'), ('moto', 'PROPN'), ('intervencion', 'PROPN'), ('policial', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('desconocer', 'VERB'), ('dato', 'NOUN'), ('ampliar', 'VERB'), ('v', 'CCONJ'), ('asegurar', 'ADJ')]
167;167;232;auto - moto;comprometida;descendiendo abro puerta delantera izquierda justo momento moto pasa junto cayendo unico tripulante suelo intervencion same lesionados ros involucrados stro mas alla declarado datos tercero zampella sebastian oscar zanella rx g anic atmel asegurado ;[('descender', 'VERB'), ('abrir', 'NOUN'), ('puerta', 'PROPN'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('justar', 'ADJ'), ('momento', 'NOUN'), ('moto', 'PROPN'), ('paso', 'VERB'), ('juntar', 'ADJ'), ('caer', 'VERB'), ('unico', 'ADJ'), ('tripulante', 'ADV'), ('soler', 'NOUN'), ('intervencion', 'PROPN'), ('same', 'ADV'), ('lesionar', 'ADJ'), ('ro', 'ADJ'), ('involucrar', 'ADJ'), ('stro', 'NOUN'), ('mas', 'PROPN'), ('alla', 'PROPN'), ('declarar', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('zampella', 'PROPN'), ('sebastian', 'PROPN'), ('oscar', 'PROPN'), ('zanella', 'PROPN'), ('rx', 'PROPN'), ('gramo', 'PROPN'), ('anic', 'PROPN'), ('atmel', 'PROPN'), ('asegurar', 'ADJ')]
168;168;233;auto - moto;;circulando gral paz aseg quiere cambiar carril motopasa medio lso carriles quiere esquivar aseguradoy roza lateral delantero derecho aseg cree espejo yluego impactarlo moto choca delanted lesiones;[('circular', 'VERB'), ('gral', 'ADJ'), ('paz', 'NOUN'), ('aseg', 'PROPN'), ('querer', 'VERB'), ('cambiar', 'VERB'), ('carril', 'PROPN'), ('motopasa', 'VERB'), ('mediar', 'PROPN'), ('lso', 'NOUN'), ('carril', 'PROPN'), ('querer', 'VERB'), ('esquivar', 'PROPN'), ('aseguradoy', 'PROPN'), ('rozar', 'VERB'), ('lateral', 'ADJ'), ('delantero', 'NOUN'), ('derecho', 'PROPN'), ('aseg', 'PROPN'), ('creer', 'VERB'), ('espejar', 'NOUN'), ('yluego', 'ADV'), ('impactarlo', 'VERB'), ('moto', 'NOUN'), ('chocar', 'VERB'), ('delanted', 'VERB'), ('lesionar', 'NOUN')]
169;169;236;auto - moto;comprometida;asegurado luego salir domicilio impactado lateral derecho tercero moto circulaba misma aparentemente patina asfalto moto sola persona cae asfalto intervine ampliamos v asegurado hecho ocurre sale cochera castro barros guemes san antonio padua tercero vecino asegurado direccion precisa dni quedo obtenerlo luego varios dccas paso direccion tercero;[('asegurar', 'ADJ'), ('luego', 'ADV'), ('salir', 'VERB'), ('domiciliar', 'NOUN'), ('impactar', 'ADJ'), ('lateral', 'ADJ'), ('derecho', 'NOUN'), ('3', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('mismo', 'DET'), ('aparentemente', 'ADV'), ('patinar', 'ADJ'), ('asfaltar', 'PROPN'), ('moto', 'PROPN'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('caer', 'VERB'), ('asfaltar', 'PROPN'), ('intervenir', 'PROPN'), ('ampliar', 'NOUN'), ('v', 'CCONJ'), ('asegurar', 'ADJ'), ('hacer', 'ADJ'), ('ocurrir', 'VERB'), ('salir', 'VERB'), ('cochera', 'AUX'), ('castrar', 'PROPN'), ('barro', 'PROPN'), ('guemes', 'PROPN'), ('santo', 'PROPN'), ('antonio', 'PROPN'), ('padua', 'PROPN'), ('3', 'ADJ'), ('vecino', 'NOUN'), ('asegurar', 'ADJ'), ('direccion', 'PROPN'), ('preciso', 'VERB'), ('dni', 'ADP'), ('quedar', 'INTJ'), ('obtenerlo', 'VERB'), ('luego', 'ADV'), ('vario', 'DET'), ('dccas', 'NOUN'), ('pasar', 'VERB'), ('direccion', 'PROPN'), ('3', 'ADJ')]
170;170;237;auto - moto;comprometida;detenida tronador avalos campo abro puerta pasa moto embiste puerta izq motociclista cae piso moto tenian intervencion policial medica;[('detenido', 'ADJ'), ('tronador', 'NOUN'), ('avalos', 'VERB'), ('campar', 'NOUN'), ('abrir', 'VERB'), ('puerta', 'PROPN'), ('paso', 'VERB'), ('moto', 'PROPN'), ('embestir', 'PROPN'), ('puerta', 'NOUN'), ('izq', 'PROPN'), ('motociclista', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('moto', 'PROPN'), ('tenian', 'PROPN'), ('intervencion', 'PROPN'), ('policial', 'PROPN'), ('medicar', 'ADJ')]
171;171;238;auto - moto;comprometida;ivh asegurado realizando maniobras estacionamiento derecha doble moto sola persona colisiona lateral izquierdo aseguradosin interv;[('ivh', 'PROPN'), ('asegurar', 'ADJ'), ('realizar', 'VERB'), ('maniobrar', 'NOUN'), ('estacionamiento', 'NOUN'), ('derecho', 'NOUN'), ('doblar', 'ADJ'), ('moto', 'NOUN'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('colisionar', 'VERB'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('aseguradosin', 'VERB'), ('interv', 'NOUN')]
172;172;240;auto - moto;comprometida;lugar ocurrencia san pedrito rivadavia circulando san pedrito coloco luz giro doblar colisionado moto venia misma danando puerta delantera derecha moto iba sola persona cayo piso lastimo izquierda ;[('lugar', 'NOUN'), ('ocurrencia', 'PROPN'), ('santo', 'PROPN'), ('pedrito', 'PROPN'), ('rivadavia', 'PROPN'), ('circular', 'VERB'), ('santo', 'PROPN'), ('pedrito', 'PROPN'), ('colocar', 'PROPN'), ('luz', 'PROPN'), ('girar', 'PROPN'), ('doblar', 'VERB'), ('colisionar', 'ADJ'), ('moto', 'PROPN'), ('venia', 'PROPN'), ('mismo', 'DET'), ('danando', 'VERB'), ('puerta', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('moto', 'PROPN'), ('ir', 'AUX'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('cayo', 'ADJ'), ('pisar', 'NOUN'), ('lastimar', 'ADJ'), ('izquierdo', 'NOUN')]
173;173;241;auto - moto;comprometida;vehiculo asegurado circlando boyaca moto circulaba misma intentar girar izquierda hacia aranguren detenerse poder realizar maniobra produce colision moto circulaban personas caen piso utilizaban ;[('vehicular', 'NOUN'), ('asegurar', 'ADJ'), ('circlando', 'VERB'), ('boyaca', 'PROPN'), ('moto', 'PROPN'), ('circular', 'AUX'), ('mismo', 'DET'), ('intentar', 'VERB'), ('girar', 'VERB'), ('izquierdo', 'NOUN'), ('hacia', 'ADP'), ('aranguren', 'AUX'), ('detenerse', 'VERB'), ('poder', 'VERB'), ('realizar', 'VERB'), ('maniobrar', 'NOUN'), ('producir', 'VERB'), ('colision', 'PROPN'), ('moto', 'PROPN'), ('circular', 'AUX'), ('personar', 'NOUN'), ('caer', 'AUX'), ('pisar', 'NOUN'), ('utilizar', 'AUX')]
174;174;242;auto - moto;comprometida;asegurado maniobraba gral villegas doblar derecha hacia santiago temple colisionado parte lateral delantera derecha moto circulaba gral villegas moto tenia ocupantes ambos tenian cayeron piso presentaban dolores varios intervencion medica policial;[('asegurar', 'ADJ'), ('maniobrar', 'AUX'), ('gral', 'PROPN'), ('villegas', 'PROPN'), ('doblar', 'VERB'), ('derecho', 'ADJ'), ('hacia', 'ADP'), ('santiago', 'PROPN'), ('templar', 'PROPN'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('lateral', 'ADJ'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('moto', 'PROPN'), ('circular', 'AUX'), ('gral', 'PROPN'), ('villegas', 'PROPN'), ('moto', 'PROPN'), ('tenia', 'PROPN'), ('ocupante', 'ADJ'), ('ambos', 'NUM'), ('tenian', 'AUX'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('presentar', 'AUX'), ('dolor', 'NOUN'), ('vario', 'DET'), ('intervencion', 'PROPN'), ('medicar', 'PROPN'), ('policial', 'ADJ')]
175;175;243;auto - moto;comprometida;encontraba detenida carril derecho semaforo pone arranco doblo hacia derecha momento unamoto pasa medio auto cordon espacio reducido termina impactando punta delantera derecha vhel mismo salio despedido moto bajar verlo manifesto ninguna ninguna dolencia levanto moto intecambiamos datos andando moto involucrados lesiones datos tercero cataldo nicolas dario duke aito zurich;[('encontrar', 'AUX'), ('detenido', 'ADJ'), ('carril', 'NOUN'), ('derecho', 'ADJ'), ('semaforo', 'ADJ'), ('poner', 'VERB'), ('arrancar', 'NOUN'), ('doblar', 'NOUN'), ('hacia', 'ADP'), ('derecho', 'ADJ'), ('momento', 'INTJ'), ('unamoto', 'PROPN'), ('paso', 'VERB'), ('mediar', 'NUM'), ('auto', 'NOUN'), ('cordon', 'ADJ'), ('espaciar', 'NOUN'), ('reducir', 'ADJ'), ('terminar', 'AUX'), ('impactar', 'VERB'), ('punta', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('vhel', 'VERB'), ('mismo', 'DET'), ('salio', 'NOUN'), ('despedir', 'ADJ'), ('moto', 'NOUN'), ('bajar', 'VERB'), ('verlo', 'VERB'), ('manifesto', 'NOUN'), ('ninguno', 'DET'), ('ninguno', 'DET'), ('dolencia', 'NOUN'), ('levantar', 'PROPN'), ('moto', 'PROPN'), ('intecambiamos', 'VERB'), ('dato', 'NOUN'), ('andar', 'VERB'), ('moto', 'NOUN'), ('involucrar', 'ADJ'), ('lesionar', 'NOUN'), ('dato', 'NOUN'), ('3', 'ADJ'), ('cataldo', 'NOUN'), ('nicolas', 'ADJ'), ('dario', 'ADJ'), ('duke', 'PROPN'), ('aito', 'ADV'), ('zurich', 'PROPN')]
176;176;244;auto - moto;comprometida;aseg circulando pavon girar hacia sarandi izquierda colisionado puerta delantera izquierda tercero moto circulaba pavon moto circulaba sola persona colocado cayo asfalto levanto retiro propios medios desplazamientos asegurado ratifica mecanicafue tema leve tomaron tercero ;[('aseg', 'PROPN'), ('circular', 'AUX'), ('pavon', 'ADV'), ('girar', 'VERB'), ('hacia', 'ADP'), ('sarandi', 'PROPN'), ('izquierdo', 'ADJ'), ('colisionar', 'ADJ'), ('puerta', 'ADJ'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('3', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('pavon', 'ADV'), ('moto', 'PROPN'), ('circular', 'AUX'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('colocar', 'ADJ'), ('cayo', 'PROPN'), ('asfaltar', 'PROPN'), ('levantar', 'PROPN'), ('retirar', 'NOUN'), ('propio', 'DET'), ('medio', 'NOUN'), ('desplazamiento', 'ADJ'), ('asegurar', 'ADJ'), ('ratificar', 'PROPN'), ('mecanicafue', 'VERB'), ('temer', 'NOUN'), ('levar', 'ADJ'), ('tomar', 'VERB'), ('3', 'ADJ')]
177;177;247;auto - moto;comprometida;redgreenlueaseg circulaba boatti aparece moto modo asegurado impacta parte delantera unidad cayendo cond moto acompanante ambos llevaban interv cond moto retira propios medios lugar ;[('redgreenlueaseg', 'PROPN'), ('circular', 'PROPN'), ('boatti', 'PROPN'), ('aparecer', 'VERB'), ('moto', 'NOUN'), ('modo', 'ADJ'), ('asegurar', 'ADJ'), ('impactar', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('unidad', 'NOUN'), ('caer', 'VERB'), ('cond', 'PROPN'), ('moto', 'PROPN'), ('acompanante', 'ADJ'), ('ambos', 'NUM'), ('llevar', 'AUX'), ('interv', 'NOUN'), ('cond', 'PROPN'), ('moto', 'PROPN'), ('retirar', 'VERB'), ('propio', 'DET'), ('medio', 'NOUN'), ('lugar', 'NOUN')]
178;178;248;auto - moto;comprometida;circulaba asuncin llegado cruce nazca misma encontraba congestionada vehiculo iba delante mio lugar cruzar nazca gira derecha haber congestin quedo casi esquina dejarme hacia derecha paso moto colisiona conmigo pegando costado altura guardabarro delantero cae suelo ;[('circular', 'AUX'), ('asuncin', 'PROPN'), ('llegar', 'ADJ'), ('cruzar', 'PROPN'), ('nacer', 'PROPN'), ('mismo', 'DET'), ('encontrar', 'AUX'), ('congestionar', 'ADJ'), ('vehicular', 'NOUN'), ('ir', 'AUX'), ('delante', 'ADV'), ('mio', 'INTJ'), ('lugar', 'NOUN'), ('cruzar', 'VERB'), ('nacer', 'PROPN'), ('girar', 'NOUN'), ('derecho', 'ADJ'), ('haber', 'VERB'), ('congestin', 'ADJ'), ('quedar', 'PROPN'), ('casi', 'ADV'), ('esquinar', 'ADJ'), ('dejarme', 'VERB'), ('hacia', 'ADP'), ('derecho', 'NOUN'), ('pasar', 'NOUN'), ('moto', 'PROPN'), ('colisionar', 'PROPN'), ('conmigo', 'PRON'), ('pegar', 'VERB'), ('costar', 'ADJ'), ('altura', 'NOUN'), ('guardabarro', 'PROPN'), ('delantero', 'NOUN'), ('caer', 'VERB'), ('soler', 'NOUN')]
179;179;252;auto - moto;concurrente;circulaba toscanini terminando cruzar interseccion mozartsiento moto lateral derecho detenerme obsevo encontraba piso acompanante parado indique quedara quieto iba llamar acercaba patrullero luces ambas personas mas involucrados lesionados datos tercero desconozco;[('circular', 'AUX'), ('toscanini', 'PROPN'), ('terminar', 'VERB'), ('cruzar', 'VERB'), ('interseccion', 'PROPN'), ('mozartsiento', 'NOUN'), ('moto', 'PROPN'), ('lateral', 'ADJ'), ('derecho', 'PROPN'), ('detenerme', 'VERB'), ('obsevo', 'PROPN'), ('encontrar', 'AUX'), ('pisar', 'NOUN'), ('acompanante', 'ADJ'), ('parar', 'ADJ'), ('indicar', 'VERB'), ('quedar', 'AUX'), ('quieto', 'NOUN'), ('ir', 'VERB'), ('llamar', 'VERB'), ('acercar', 'AUX'), ('patrullero', 'NOUN'), ('luz', 'NOUN'), ('ambos', 'NUM'), ('personar', 'NOUN'), ('mas', 'ADJ'), ('involucrar', 'ADJ'), ('lesionar', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('desconocer', 'VERB')]
180;180;255;auto - moto;comprometida;asegurada circulando elcano giro derecha momento moto colisiona lateral derecho caerse intervencion policial;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('elcano', 'ADJ'), ('girar', 'PROPN'), ('derecho', 'ADJ'), ('momento', 'NOUN'), ('moto', 'PROPN'), ('colisionar', 'VERB'), ('lateral', 'ADJ'), ('derecho', 'ADJ'), ('caerse', 'VERB'), ('intervencion', 'PROPN'), ('policial', 'ADJ')]
181;181;257;auto - moto;comprometida;circulando blois cruzar bocacalle moto irigoyn colisiona lateral derecho sola persona moto vi cazco colocado cae suelo presentaba lesiones visibles retirar medios;[('circular', 'PROPN'), ('blois', 'PROPN'), ('cruzar', 'VERB'), ('bocacalle', 'PROPN'), ('moto', 'PROPN'), ('irigoyn', 'PROPN'), ('colisionar', 'PROPN'), ('lateral', 'ADJ'), ('derecho', 'PROPN'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('moto', 'PROPN'), ('ver', 'PROPN'), ('cazco', 'PROPN'), ('colocar', 'ADJ'), ('caer', 'VERB'), ('soler', 'NOUN'), ('presentar', 'AUX'), ('lesionar', 'NOUN'), ('visible', 'ADJ'), ('retirar', 'VERB'), ('medio', 'NOUN')]
182;182;258;auto - moto;comprometida;asegurado circulando calchaquila misma reparacioncon semaforo ambos sentidosel asegurado pone giro trata doblar izquierdacuando motocicleta venia mismasale detras tercero furgonde contrariolo colisionacon parte delantera motocontra parte trasera lateral derecha aseguradoconductor cascocae sueloqueda suelo;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('calchaquila', 'PROPN'), ('mismo', 'DET'), ('reparacioncon', 'PROPN'), ('semaforo', 'ADJ'), ('ambos', 'NUM'), ('sentidosel', 'PROPN'), ('asegurar', 'ADJ'), ('poner', 'VERB'), ('girar', 'NOUN'), ('tratar', 'VERB'), ('doblar', 'VERB'), ('izquierdacuando', 'VERB'), ('motocicleta', 'DET'), ('venia', 'PROPN'), ('mismasale', 'PROPN'), ('detras', 'NOUN'), ('3', 'ADJ'), ('furgonde', 'NOUN'), ('contrariolo', 'PROPN'), ('colisionacon', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('motocontra', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('lateral', 'ADJ'), ('derecho', 'ADJ'), ('aseguradoconductor', 'NOUN'), ('cascocae', 'PROPN'), ('sueloqueda', 'VERB'), ('soler', 'NOUN')]
183;183;259;auto - moto;comprometida;iba circulando centenario uruguayo izquierda girar izquierda mansilla realizando maniobra giro colisionado parte trasera derecha moto circulaba detras intenta pasarme moto iba sola persona cae piso intervension policial trasladan tercero hospital finocchieto avellaneda pusieron yeso desplazamientos;[('ir', 'VERB'), ('circular', 'VERB'), ('centenario', 'NOUN'), ('uruguayo', 'ADJ'), ('izquierdo', 'PROPN'), ('girar', 'VERB'), ('izquierdo', 'ADJ'), ('mansilla', 'NOUN'), ('realizar', 'VERB'), ('maniobrar', 'NOUN'), ('girar', 'ADJ'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('derecho', 'NOUN'), ('moto', 'ADJ'), ('circular', 'AUX'), ('detras', 'NOUN'), ('intentar', 'VERB'), ('pasarme', 'VERB'), ('moto', 'NOUN'), ('ir', 'AUX'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('intervension', 'PROPN'), ('policial', 'ADJ'), ('trasladar', 'AUX'), ('3', 'ADJ'), ('hospital', 'PROPN'), ('finocchieto', 'PROPN'), ('avellaneda', 'VERB'), ('poner', 'VERB'), ('yeso', 'NOUN'), ('desplazamiento', 'ADJ')]
184;184;260;auto - moto;comprometida;circulando rosales llegar cruce maipu impactado tercero lateral delantero derecho tercero cayo piso intervencin policial tercero retiro lugar propios mediosampliamos v asegurado ;[('circular', 'VERB'), ('rosal', 'ADJ'), ('llegar', 'VERB'), ('cruzar', 'NOUN'), ('maipu', 'ADV'), ('impactar', 'ADJ'), ('3', 'ADJ'), ('lateral', 'ADJ'), ('delantero', 'NOUN'), ('derecho', 'ADJ'), ('3', 'ADJ'), ('cayo', 'PROPN'), ('pisar', 'PROPN'), ('intervencin', 'PROPN'), ('policial', 'ADJ'), ('3', 'ADJ'), ('retirar', 'NOUN'), ('lugar', 'NOUN'), ('propio', 'DET'), ('mediosampliamos', 'NOUN'), ('v', 'CCONJ'), ('asegurar', 'ADJ')]
185;185;264;auto - moto;concurrente;detenida ingresar estacionamiento cancha river moto circulaba toca parte delantera derecha motociclista cae piso intervencin policial;[('detenido', 'ADJ'), ('ingresar', 'VERB'), ('estacionamiento', 'NOUN'), ('cancha', 'NOUN'), ('river', 'PROPN'), ('moto', 'PROPN'), ('circular', 'AUX'), ('tocar', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'NOUN'), ('motociclista', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('intervencin', 'PROPN'), ('policial', 'ADJ')]
186;186;265;auto - moto;comprometida;asegurado circulando iberlucea colisiono parte delantera derecha tercero moto ocupante colocado cayo suelo tercero circulaba suarez tercero levanto medios intercambiaron datos siguio ;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('iberlucea', 'ADJ'), ('colisionar', 'NOUN'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('3', 'ADJ'), ('moto', 'NOUN'), ('ocupante', 'ADJ'), ('colocar', 'ADJ'), ('cayo', 'PROPN'), ('soler', 'NOUN'), ('3', 'ADJ'), ('circular', 'AUX'), ('suarez', 'PROPN'), ('3', 'ADJ'), ('levantar', 'PROPN'), ('medio', 'NOUN'), ('intercambiar', 'VERB'), ('dato', 'NOUN'), ('siguio', 'AUX')]
187;187;267;auto - moto;comprometida;venia crisostomo alvares llegando portela choque moto venan personas seguro vehculo moto frena golpe frena auto portela atras lugar concurri polica tampoco habia semaforos calles ampliamos asegurado ratifica mecanica choco parte trasera motocicleta choque leve llamaron terceros cruzaron datos qy lugar;[('venia', 'PROPN'), ('crisostomo', 'SCONJ'), ('alvares', 'NOUN'), ('llegar', 'VERB'), ('portela', 'PROPN'), ('chocar', 'NOUN'), ('moto', 'PROPN'), ('venan', 'AUX'), ('personar', 'NOUN'), ('seguro', 'ADJ'), ('vehculo', 'ADJ'), ('moto', 'PROPN'), ('frenar', 'PROPN'), ('golpe', 'PROPN'), ('frenar', 'PROPN'), ('auto', 'PROPN'), ('portela', 'PROPN'), ('atras', 'NOUN'), ('lugar', 'NOUN'), ('concurri', 'PROPN'), ('polica', 'ADJ'), ('tampoco', 'ADV'), ('habia', 'PROPN'), ('semaforos', 'NOUN'), ('calle', 'ADJ'), ('ampliar', 'VERB'), ('asegurar', 'ADJ'), ('ratificar', 'PROPN'), ('mecanica', 'ADJ'), ('chocar', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('motocicleta', 'NOUN'), ('chocar', 'NOUN'), ('levar', 'ADJ'), ('llamar', 'VERB'), ('tercero', 'ADJ'), ('cruzar', 'VERB'), ('dato', 'NOUN'), ('qy', 'ADP'), ('lugar', 'NOUN')]
188;188;268;auto - moto;comprometida;redgreenlue aseg circulando marconial girar hacia interseccion guino puestoes colisionado lateral trasero derecho parte delantera terceroque circulaba gualeguayun ocupantecon cascono cae pisono ;[('redgreenlue', 'PROPN'), ('aseg', 'PROPN'), ('circular', 'VERB'), ('marconial', 'ADJ'), ('girar', 'VERB'), ('hacia', 'ADP'), ('interseccion', 'PROPN'), ('guino', 'NOUN'), ('puestoes', 'ADJ'), ('colisionar', 'ADJ'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('derecho', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('terceroque', 'PROPN'), ('circular', 'PROPN'), ('gualeguayun', 'PROPN'), ('ocupantecon', 'PROPN'), ('cascono', 'PROPN'), ('caer', 'VERB'), ('pisono', 'NOUN')]
189;189;270;auto - moto;comprometida;aseg circulaba re san martin habia moto adelnate empezar doblar ambos derecha tomar cruce barrera moto frena aseg chcoa parte trasera ocupantes caen suelo ;[('aseg', 'PROPN'), ('circular', 'AUX'), ('re', 'PROPN'), ('santo', 'PROPN'), ('martin', 'PROPN'), ('habia', 'PROPN'), ('moto', 'PROPN'), ('adelnate', 'PROPN'), ('empezar', 'VERB'), ('doblar', 'VERB'), ('ambos', 'NUM'), ('derecho', 'VERB'), ('tomar', 'VERB'), ('cruzar', 'NOUN'), ('barrera', 'PROPN'), ('moto', 'PROPN'), ('frenar', 'PROPN'), ('aseg', 'PROPN'), ('chcoa', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('ocupante', 'ADJ'), ('caer', 'AUX'), ('soler', 'NOUN')]
190;190;271;auto - moto;comprometida;asegurado circulando mexico impacta tercero moto circulaba alta velocidad d funes parte delantera lateral derecho terc ocupantes moto producto mismo caen pavimento trasladados intervencion policial vhs retenidos comunicamos v asegurado ratifica mecanica hecho asegurado embiste lateral trasero derecho motocicleta ambos ocupantes motocicleta trasladados ambulanciano datos terceros ;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('mexico', 'ADJ'), ('impactar', 'VERB'), ('3', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('alto', 'ADJ'), ('velocidad', 'NOUN'), ('d', 'PROPN'), ('funes', 'NOUN'), ('partir', 'VERB'), ('delantero', 'NOUN'), ('lateral', 'ADJ'), ('derecho', 'PROPN'), ('terc', 'PROPN'), ('ocupante', 'ADJ'), ('moto', 'PROPN'), ('producto', 'NOUN'), ('mismo', 'DET'), ('caer', 'AUX'), ('pavimentar', 'PROPN'), ('trasladar', 'PROPN'), ('intervencion', 'PROPN'), ('policial', 'ADJ'), ('vhs', 'PROPN'), ('retener', 'ADJ'), ('comunicar', 'NOUN'), ('v', 'PROPN'), ('asegurar', 'PROPN'), ('ratificar', 'PROPN'), ('mecanica', 'ADJ'), ('hacer', 'ADJ'), ('asegurar', 'ADJ'), ('embestir', 'VERB'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('derecho', 'ADJ'), ('motocicleta', 'ADV'), ('ambos', 'NUM'), ('ocupante', 'ADJ'), ('motocicleta', 'PROPN'), ('trasladar', 'VERB'), ('ambulanciano', 'ADJ'), ('dato', 'NOUN'), ('tercero', 'ADJ')]
191;191;272;auto - moto;comprometida;circulando triunvirato moto circulaba izquierda embsite parte lateral trasera izquierda moto iba sola persona cae piso ;[('circular', 'VERB'), ('triunvirato', 'NOUN'), ('moto', 'PROPN'), ('circular', 'AUX'), ('izquierdo', 'ADJ'), ('embsite', 'VERB'), ('partir', 'NOUN'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('izquierdo', 'NOUN'), ('moto', 'PROPN'), ('ir', 'AUX'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('caer', 'VERB'), ('pisar', 'NOUN')]
