cod_accidente,descripcion_del_hecho - Final,responsabilidad,fuzzy,no_hpx
am    ,circulaba asuncin llegado cruce nazca misma encontraba congestionada vehiculo iba delante mio lugar cruzar nazca gira haber congestin quedo casi esquina dejarme hacia paso moto colisiona conmigo pegando costado altura guardabarro delantero cae suelo ,comprometida,circulaba asuncin llegado cruce nazca mismo encontraba congestionada vehiculo iba delante mio lugar cruzar nazca gira haber congestin quedo casi esquina dejarme habia paso moto colisionando conmigo pegando costado altura guardabarro delante caen suelo,circulaba cruce nazca mismo encontraba congestionada vehiculo iba delante mio lugar cruzar nazca gira haber quedo casi esquina dejarme habia paso moto colisionando conmigo pegando costado altura guardabarro delante caen suelo
cicl  ,entrar auto garage casa venia circulando ciclista choco espejo guardabarro lado derecha autocontactamos asegurado mismo manifiesta circulaba colectora general paz luego pasar semaforo lope vega abre par izquierda luego entrar garage casa izquierda colectorael ciclista venia circulando colectora haba visto bicicleta prestando atencin moto realiza maniobra entrar garage produce tercero golpeo tena volo encima parabrisas concurro same llevaron velez sarfield acerc tomo datos hicieron alcoholemia rompio espejo derecha,comprometida,entrar auto garage casa venia circulando ciclista choco espejo guardabarro lado derecha autocontactamos aseg mismo manifiesta circulaba colectora general paz luego pasar semaforo lope vega abre parte izquierda luego entrar garage casa izquierda colectorael ciclista venia circulando colectora habia visto bicicleta prestando atencin moto realiza maniobra entrar garage produce tercero golpeo tenia volo encima parabrisas concurro same llevaron velez sarfield acerc tomo datos hicieron alcoholemia rompio espejo derecha,entrar auto garage casa venia circulando ciclista choco espejo guardabarro lado derecha aseg mismo manifiesta circulaba colectora general paz luego pasar semaforo lope vega abre parte izquierda luego entrar garage casa izquierda ciclista venia circulando colectora habia bicicleta atencin moto realiza maniobra entrar garage produce tercero golpeo tenia encima parabrisas same llevaron velez acerc tomo datos hicieron alcoholemia rompio espejo derecha
cicl  ,aseg detenido sarmiento abre puerta delantera descender mismo colisiona manubrio tercero circulaba misma bici tercero ocupante colocado cae manifesto dolor muneca trasladado ,comprometida,aseg detenido sarmiento abre puerta delante descender mismo colisionando manubrio tercero circulaba mismo bici tercero ocupantes colocado caen manifesto dolor muneca trasladado,aseg detenido sarmiento abre puerta delante descender mismo colisionando manubrio tercero circulaba mismo bici tercero ocupantes colocado caen manifesto dolor muneca trasladado
aci   ,da alrededor pm asegurado conduca azcuenaga direccin querer doblar encierra bicicleta circulaba azcuenaga misma direccin tercero cae bicicleta asegurado ofrece asistencia revisado mismo derecha atencin pasan datos vehculo retira lugard,comprometida,trasladado alrededor pm aseg conduca azcuenaga direccin querer doblar encierra bicicleta circulaba azcuenaga mismo direccin tercero caen bicicleta aseg ofrece asistencia revisado mismo derecha atencin san datos vehiculo retira lugard,trasladado pm aseg azcuenaga direccin querer doblar encierra bicicleta circulaba azcuenaga mismo direccin tercero caen bicicleta aseg ofrece asistencia revisado mismo derecha atencin san datos vehiculo retira lugard
am    ,circulaba toscanini terminando cruzar interseccion mozartsiento moto lateral derecha detenerme obsevo encontraba piso acompanante parado indique quedara quieto iba llamar acercaba patrullero luces ambas personas mas involucrados lesionados datos tercero desconozco,concurrente,circulaba toscanini terminando cruzar interseccion mozartsiento moto lateral derecha detenerme obsevo encontraba piso acompanante parado indique quedara quieto iba llamar acercaba patrullero luces ambos personas mas involucrados lesionados datos tercero desconozco,circulaba terminando cruzar interseccion moto lateral derecha encontraba piso acompanante parado iba llamar patrullero luces ambos personas mas involucrados lesionados datos tercero desconozco
peaton,asegurado circulando yrigoyen tocar rama sobresalia vereda misma impacta persona,comprometida,aseg circulando yrigoyen tomar rama sobresalia vereda mismo impactada personas,aseg circulando yrigoyen tomar vereda mismo impactada personas
aa    ,asegurado iba circulando vehiculo adelante frena repentinamente asegurado colisiona parte trasera parte delantera ,comprometida,aseg iba circulando vehiculo delante frena repentinamente aseg colisionando parte trasera parte delante,aseg iba circulando vehiculo delante frena repentinamente aseg colisionando parte trasera parte delante
am    ,asegurada circulando elcano giro momento moto colisiona lateral derecha caerse intervencion policial,comprometida,aseg circulando elcano giro momento moto colisionando lateral derecha cae intervencion policial,aseg circulando giro momento moto colisionando lateral derecha cae intervencion policial
cicl  ,estacionaro puerta casa abro puerta bajar vi pasaba bicicleta toca puerta manubrio cae piso ciclista iba tenia golpe pecho raiz llevo clinica modelo atienden sacandole radiografia refieren tenia intervension policial,comprometida,estacionaro puerta casa abro puerta bajar pavimento pasaba bicicleta toca puerta manubrio caen piso ciclista iba tenia golpe hecho raiz llevo clinica modelo atienden sacandole radiografia refieren tenia intervension policial,puerta casa abro puerta bajar pavimento pasaba bicicleta toca puerta manubrio caen piso ciclista iba tenia golpe hecho raiz llevo clinica modelo atienden tenia intervension policial
am    ,circulando blois cruzar bocacalle moto irigoyn colisiona lateral derecha sola persona moto vi cazco colocado cae suelo presentaba lesiones visibles retirar medios,comprometida,circulando blois cruzar bocacalle moto irigoyn colisionando lateral derecha sola personas moto pavimento cazco colocado caen suelo presentaba lesiones visibles retira medios,circulando cruzar bocacalle moto colisionando lateral derecha sola personas moto pavimento cazco colocado caen suelo presentaba lesiones visibles retira medios
am    ,asegurado circulando calchaquila misma reparacioncon semaforo ambos sentidosel asegurado pone giro trata doblar izquierda motocicleta venia mismasale detras tercero furgonde contrariolo colisionacon parte delantera motocontra parte trasera lateral aseguradoconductor cascocae sueloqueda suelo,comprometida,aseg circulando calchaquila mismo reparacioncon semaforo ambos sentidosel aseg pone giro trata doblar izquierda motocicleta venia mismasale detras tercero furgonde contrariolo colisionado parte delante motocontra parte trasera lateral aseg cae suelo suelo,aseg circulando mismo semaforo ambos aseg pone giro trata doblar izquierda motocicleta venia detras tercero colisionado parte delante parte trasera lateral aseg cae suelo suelo
am    ,iba circulando centenario uruguayo girar mansilla realizando maniobra giro colisionado parte trasera moto circulaba detras intenta pasarme moto iba sola persona cae piso intervension policial trasladan tercero hospital finocchieto avellaneda pusieron yeso desplazamientos,comprometida,iba circulando centenario uruguayo girar mansilla realizando maniobra giro colisionando parte trasera moto circulaba detras intenta pasarme moto iba sola personas caen piso intervension policial trasladado tercero hospital finocchieto avellaneda pusieron yeso desplazamientos,iba circulando centenario uruguayo girar mansilla realizando maniobra giro colisionando parte trasera moto circulaba detras intenta pasarme moto iba sola personas caen piso intervension policial trasladado tercero hospital avellaneda pusieron desplazamientos
am    ,circulando rosales llegar cruce maipu impactado tercero lateral delantero derecha tercero cayo piso intervencin policial tercero retiro lugar propios mediosampliamos v asegurado ,comprometida,circulando rosales llegar cruce maipu impactado tercero lateral delante derecha tercero cayo piso intervencin policial tercero retiro lugar propios medios llevaba aseg,circulando rosales llegar cruce maipu impactado tercero lateral delante derecha tercero cayo piso intervencin policial tercero retiro lugar propios medios llevaba aseg
aa    ,aseg saladillo tercero aparece costado izquierda ibanez aseg colisiona puerta trasera trompa aseg tercero lesionado iba parte atras tercero ,concurrente,aseg saladillo tercero aparece costado izquierda iba aseg colisionando puerta trasera trompa aseg tercero colisionado iba parte atras tercero,aseg saladillo tercero aparece costado izquierda iba aseg colisionando puerta trasera trompa aseg tercero colisionado iba parte atras tercero
peaton,redgreenlueredgreenlue aseg saliendo estacionado tordo marcha atras golpe lateral derecha trasero peaton arroja bolso peaton cae pavimento levanto retiro discusion previa anterior persona ,comprometida,redgreenlueredgreenlue aseg saliendo estacionado tordo marcha atras golpe lateral derecha trasero peaton arroja bolso peaton caen pavimento levanta retiro discusion previa anterior personas,redgreenlueredgreenlue aseg saliendo estacionado marcha atras golpe lateral derecha trasero peaton peaton caen pavimento levanta retiro previa anterior personas
cicl  ,asegurado circulaba libertador cruzando pampa produce colision part edelantera ciclista circulaba pampa ciclista cae piso lesiones visibles brazos trasladado,concurrente,aseg circulaba libertador cruzando pampa produce colisionando parte delante ciclista circulaba pampa ciclista caen piso lesiones visibles brazos trasladado,aseg circulaba libertador cruzando pampa produce colisionando parte delante ciclista circulaba pampa ciclista caen piso lesiones visibles brazos trasladado
am    ,detenida ingresar estacionamiento cancha river moto circulaba toca parte delantera motociclista cae piso intervencin policial,concurrente,detenida ingresar estacionamiento cancha river moto circulaba toca parte delante motociclista caen piso intervencin policial,detenida ingresar estacionamiento moto circulaba toca parte delante motociclista caen piso intervencin policial
am    ,asegurado circulando iberlucea colisiono parte delantera tercero moto ocupante colocado cayo suelo tercero circulaba suarez tercero levanto medios intercambiaron datos siguio ,comprometida,aseg circulando iberlucea colisiono parte delante tercero moto ocupantes colocado cayo suelo tercero circulaba suarez tercero levanta medios intercambiaron datos siguio,aseg circulando colisiono parte delante tercero moto ocupantes colocado cayo suelo tercero circulaba suarez tercero levanta medios intercambiaron datos siguio
aa    ,venia circulando espinosa cruce arengreen viniendo vehculo puerta delantera parte guardabarros delantero derecha luego auto subi vereda impactando pared luego choque vehiculo subi vereda termina impactando contraa pared vivienda esquina hija tercero golpe parietal derecha intervencion same tercero quizo trasladara hija hospital lesionados ros involucrados stro mas alla declarado datos tercero ana jolly volkswagen voyage jyd boston,concurrente,venia circulando espinosa cruce arengreen viniendo vehiculo puerta delante parte guardabarros delante derecha luego auto subi vereda impacta parte luego choque vehiculo subi vereda termina impacta contraa parte vivienda esquina hija tercero golpe parietal derecha intervencion same tercero quizo trasladado hija hospital lesionados ros involucrados stro mas alla declarado datos tercero acompanante jolly volkswagen voyage jyd boston,venia circulando cruce viniendo vehiculo puerta delante parte guardabarros delante derecha luego auto subi vereda impacta parte luego choque vehiculo subi vereda termina impacta parte esquina hija tercero golpe derecha intervencion same tercero quizo trasladado hija hospital lesionados ros involucrados stro mas alla declarado datos tercero acompanante
am    ,venia crisostomo alvares llegando portela choque moto venan personas seguro vehculo moto frena golpe frena auto portela atras lugar concurri polica tampoco habia semaforos calles ampliamos asegurado ratifica mecanica choco parte trasera motocicleta choque leve llamaron terceros cruzaron datos qy lugar,comprometida,venia crisostomo alvares llegando portela choque moto venia personas asegurado vehiculo moto frena golpe frena auto portela atras lugar concurri polica tampoco habia semaforos calles ampliamos aseg ratifica mecanica choco parte trasera motocicleta choque leve llamaron terceros cruzaron datos qy lugar,venia llegando portela choque moto venia personas asegurado vehiculo moto frena golpe frena auto portela atras lugar concurri polica tampoco habia semaforos calles ampliamos aseg ratifica mecanica choco parte trasera motocicleta choque leve llamaron terceros cruzaron datos lugar
am    ,redgreenlue aseg circulando marconial girar hacia interseccion guino puestoes colisionado lateral trasero derecha parte delantera terceroque circulaba gualeguayun ocupantecon cascono cae pisono ,comprometida,redgreenlue aseg circulando marconial girar habia interseccion guino puesto colisionando lateral trasero derecha parte delante terceroque circulaba gualeguayun ocupante cascono caen piso,redgreenlue aseg circulando girar habia interseccion guino puesto colisionando lateral trasero derecha parte delante terceroque circulaba ocupante cascono caen piso
peaton,redgreenlue aseg circulando ciudadela dobla don cristobalhaci colisiona persona espejo izquierda tercera cae piso aseg traslada casa tenia brazo hinchado ,comprometida,redgreenlue aseg circulando ciudadela dobla don cristobalhaci colisionando personas espejo izquierda tercera caen piso aseg trasladado casa tenia brazo hinchado,redgreenlue aseg circulando ciudadela dobla don colisionando personas espejo izquierda tercera caen piso aseg trasladado casa tenia brazo
am    ,aseg circulaba re san martin habia moto adelnate empezar doblar ambos tomar cruce barrera moto frena aseg chcoa parte trasera ocupantes caen suelo ,comprometida,aseg circulaba retiro san martin habia moto delante empezar doblar ambos tomar cruce barrera moto frena aseg choco parte trasera ocupantes caen suelo,aseg circulaba retiro san martin habia moto delante empezar doblar ambos tomar cruce barrera moto frena aseg choco parte trasera ocupantes caen suelo
am    ,asegurado circulando mexico impacta tercero moto circulaba alta velocidad d funes parte delantera lateral derecha terc ocupantes moto producto mismo caen pavimento trasladados intervencion policial vhs retenidos comunicamos v asegurado ratifica mecanica hecho asegurado embiste lateral trasero derecha motocicleta ambos ocupantes motocicleta trasladados ambulanciano datos terceros ,comprometida,aseg circulando mexico impactada tercero moto circulaba alta velocidad trasladado funes parte delante lateral derecha terc ocupantes moto produce mismo caen pavimento trasladado intervencion policial vhs retenidos comunicamos llevaba aseg ratifica mecanica hecho aseg embiste lateral trasero derecha motocicleta ambos ocupantes motocicleta trasladado ambulanciano datos terceros,aseg circulando mexico impactada tercero moto circulaba alta velocidad trasladado funes parte delante lateral derecha terc ocupantes moto produce mismo caen pavimento trasladado intervencion policial vhs comunicamos llevaba aseg ratifica mecanica hecho aseg embiste lateral trasero derecha motocicleta ambos ocupantes motocicleta trasladado datos terceros
am    ,circulando triunvirato moto circulaba embsite parte lateral trasera moto iba sola persona cae piso ,comprometida,circulando triunvirato moto circulaba embiste parte lateral trasera moto iba sola personas caen piso,circulando triunvirato moto circulaba embiste parte lateral trasera moto iba sola personas caen piso
am    ,vehiculo asegurado circulaba esmeralda girando embiste moto izquierda guardabarro delantero izquierda ocupantes motocicleta caen luego levantan medios llevaban ,comprometida,vehiculo aseg circulaba esmeralda girando embiste moto izquierda guardabarro delante izquierda ocupantes motocicleta caen luego levanta medios llevaba,vehiculo aseg circulaba esmeralda girando embiste moto izquierda guardabarro delante izquierda ocupantes motocicleta caen luego levanta medios llevaba
am    ,maniobraba marcha atras salir vereda hacia balbin vena moto circulabdo misma detengo impacta parte trasera moto iba solo ocupante tena mismo cae pavimento ,comprometida,maniobra marcha atras salir vereda habia balbin venia moto circulaba mismo detengo impactada parte trasera moto iba solo ocupantes tenia mismo caen pavimento,maniobra marcha atras salir vereda habia balbin venia moto circulaba mismo detengo impactada parte trasera moto iba solo ocupantes tenia mismo caen pavimento
aa    ,aseg circulaba bogota comenzando cruzar carrasco impactado parte delantera tercero circulaba parte frontal tercero lesionesel asegurado amplio escrito original dejado oficina v cia anticipado copia ,comprometida,aseg circulaba bogota comenzando cruzar carrasco impactado parte delante tercero circulaba parte frontal tercero lesiones aseg amplio escrito original dejado oficina llevaba cia anticipado copia,aseg circulaba bogota comenzando cruzar carrasco impactado parte delante tercero circulaba parte frontal tercero lesiones aseg amplio escrito oficina llevaba cia
am    ,circulaba pampa delante mo circulaba moto llegar otamendi frena bruscamente intento frenar vehculo patina producto choco rueda trasera callendo ocupantes piso presentar leciones simple vistacontactamos v asegurado amplio informacion siniestro datos terceros manifesto llama juan ramon diaz dni acompanante jose mariano mas datos accidente dia horas aprox pampa valentin alsina lanus moto honda xr patente hxu moto circulaba delante mio freno bruscamente freno auto patina debido fuerte q habia monento golpeo rueda atras celular moto participo intercambios datos lugar hecho,comprometida,circulaba pampa delante mismo circulaba moto llegar otamendi frena bruscamente intento frena vehiculo patina produce choco rueda trasera callendo ocupantes piso presentaba lesiones simple vistacontactamos llevaba aseg amplio informacion siniestro datos terceros manifesto llama juan ramon diaz dni acompanante jose mariano mas datos accidente dia horas aprox pampa valentin alsina lanus moto honda xr patente hxu moto circulaba delante mio frena bruscamente frena auto patina debido fuerte choque habia momento golpeo rueda atras celular moto participo intercambios datos lugar hecho,circulaba pampa delante mismo circulaba moto llegar frena bruscamente intento frena vehiculo patina produce choco rueda trasera ocupantes piso presentaba lesiones simple llevaba aseg amplio informacion siniestro datos terceros manifesto llama juan diaz dni acompanante jose mariano mas datos accidente dia horas aprox pampa valentin alsina lanus moto honda xr patente moto circulaba delante mio frena bruscamente frena auto patina debido fuerte choque habia momento golpeo rueda atras celular moto participo datos lugar hecho
am    ,redgreenlue asegurado circulando alvarado empieza doblar hacia goncalvez embestido parte delantera parte delantera moto circulaba detras alvarado motociclista tenia unico tripulante cayo piso heridas visibles intervencion retiraron ambos propios medios desplazamientos ,comprometida,redgreenlue aseg circulando alvarado empieza doblar habia goncalvez embestido parte delante parte delante moto circulaba detras alvarado motociclista tenia unico tripulante cayo piso heridas visibles intervencion retira ambos propios medios desplazamientos,redgreenlue aseg circulando alvarado empieza doblar habia embestido parte delante parte delante moto circulaba detras alvarado motociclista tenia unico tripulante cayo piso heridas visibles intervencion retira ambos propios medios desplazamientos
am    ,circulaba solis llegar interseccin intento doblar agarrar morenopor transito pude hacerlo detengoy apenas comenzando circular poder continuar solisaparece moto detras taxi embiste parte delantera parte delantera ocupantes ,comprometida,circulaba solis llegar interseccin intento doblar agarrar morenopor transito pude hacerlo detengoy apenas comenzando circulaba poder continuar solisaparece moto detras taxi embiste parte delante parte delante ocupantes,circulaba llegar interseccin intento doblar transito pude hacerlo apenas comenzando circulaba poder continuar moto detras taxi embiste parte delante parte delante ocupantes
peaton,aseg circulaba medina nino cruzaba corriendo metros esquina toca delantero izquierda asegurado nene cae vereda presentaba raspn trasladado colegio asegurada all llamaron policias necesario trasladarlo centro medico,concurrente,aseg circulaba medina nino cruzaba corriendo metros esquina toca delante izquierda aseg nene caen vereda presentaba raspn trasladado colegio aseg all llamaron policias necesario trasladado centro medios,aseg circulaba medina nino cruzaba corriendo metros esquina toca delante izquierda aseg caen vereda presentaba raspn trasladado colegio aseg all llamaron policias necesario trasladado centro medios
cicl  ,girando hacia laprida cruzando cruce ffcc llegar primera bocacalle bicicleta parecer buscando proposito colisionar alguno autos circulabamos golpea lateral izquierda levanta agresivamente comienza auto arrojando golpes puno persona ,comprometida,girando habia laprida cruzando cruce ffcc llegar primera bocacalle bicicleta parecer buscando proposito colisionando alguno datos circulaba golpea lateral izquierda levanta agresivamente comienza auto arrojando golpes puno personas,girando habia laprida cruzando cruce llegar primera bocacalle bicicleta parecer buscando colisionando alguno datos circulaba golpea lateral izquierda levanta comienza auto golpes puno personas
am    ,venia circulando ciudad paz cruzar garcia rio aparece moto daltima colisiona parte delantera autoacto seguido motociclista cae auto luego pisome detengo bajo auto preguntarle dice bien va andando moto rapido intervencion policial medica motociclista sexo masculino,comprometida,venia circulando velocidad paz cruzar garcia rio aparece moto daltima colisionando parte delante autoacto seguido motociclista caen auto luego piso detengo bajo auto preguntarle dice bien llevaba andando moto rapido intervencion policial medica motociclista sexo masculino,venia circulando velocidad paz cruzar garcia rio aparece moto daltima colisionando parte delante autoacto seguido motociclista caen auto luego piso detengo bajo auto dice bien llevaba andando moto rapido intervencion policial medica motociclista sexo masculino
am    ,aseg circulando detras moto frena aseg coliciono atras personas caen moto lesiones visibles mas vhsnos contactamos v asegurado efectos obtener mayores datos terceros mismo ratific meccnica hecho colisiono levemente moto preceda lleg frenar intercambiaron datos retiraron lugar propios medios ,comprometida,aseg circulando detras moto frena aseg colisiono atras personas caen moto lesiones visibles mas vhsnos contactamos llevaba aseg efectos obtener mayores datos terceros mismo ratific mecanica hecho colisiono levemente moto preceda llegar frena intercambiaron datos retira lugar propios medios,aseg circulando detras moto frena aseg colisiono atras personas caen moto lesiones visibles mas contactamos llevaba aseg obtener mayores datos terceros mismo ratific mecanica hecho colisiono levemente moto llegar frena intercambiaron datos retira lugar propios medios
am    ,vehiculo asegurado detenido semaforo comenzar marcha colisiona parte delantera parte trasera moto raiz golpe moto golpea vehiculo adelante moto cae piso ,comprometida,vehiculo aseg detenido semaforo comenzar marcha colisionando parte delante parte trasera moto raiz golpe moto golpea vehiculo delante moto caen piso,vehiculo aseg detenido semaforo comenzar marcha colisionando parte delante parte trasera moto raiz golpe moto golpea vehiculo delante moto caen piso
am    ,vehiculo asegurado circulaba brandsen cruzar pergamino moto cirdulaba ultima colisiona lateral derecha motociclista cae piso llevaba ,concurrente,vehiculo aseg circulaba brandsen cruzar pergamino moto circulaba ultima colisionando lateral derecha motociclista caen piso llevaba,vehiculo aseg circulaba brandsen cruzar pergamino moto circulaba ultima colisionando lateral derecha motociclista caen piso llevaba
am    ,circulaba roca auto viene encima volanteo hacia toque moto moto iban personas caen suelo levantan ,comprometida,circulaba roca auto viene encima volanteo habia toque moto moto iba personas caen suelo levanta,circulaba roca auto viene encima volanteo habia toque moto moto iba personas caen suelo levanta
am    ,redgreenlue asegurado circulando martin rodriguez colisionado frente izquierda moto circulaba encalada desplazamientos personas circulaban moto cascos cayeron piso ,concurrente,redgreenlue aseg circulando martin rodriguez colisionando frente izquierda moto circulaba encalada desplazamientos personas circulaba moto cascos cayeron piso,redgreenlue aseg circulando martin rodriguez colisionando frente izquierda moto circulaba encalada desplazamientos personas circulaba moto cascos cayeron piso
am    ,encontraba detenido carril derecha bicentenario semaforo habilita comienzo girar ingresar peru moto pasar colisiona lateral derecha desplazamientos ocupantes caen piso ,comprometida,encontraba detenido carril derecha bicentenario semaforo habilita comienzo girar ingresar peru moto pasar colisionando lateral derecha desplazamientos ocupantes caen piso,encontraba detenido carril derecha semaforo habilita comienzo girar ingresar peru moto pasar colisionando lateral derecha desplazamientos ocupantes caen piso
aa    ,aseg circulaba embiste parte delantera parte trasera tercero renault clio gris detuvo delante producto desplaza embistiendo renault clio azul detenido delante vehculo renault clio gris result lesionado,comprometida,aseg circulaba embiste parte delante parte trasera tercero renault clio gris detuvo delante produce desplazamientos embistio renault clio azul detenido delante vehiculo renault clio gris result colisionado,aseg circulaba embiste parte delante parte trasera tercero renault clio gris detuvo delante produce desplazamientos embistio renault clio azul detenido delante vehiculo renault clio gris result colisionado
cicl  ,aseg estacionado garzon marchas atras salir impacta parte trasera bicicleta circulaba ultimamujer bicicleta unico tripulante cae bicicleta lesiones visibles aseg ofrecer asistencia llevarla hospital ro niega intervencion policial interv retiro propios medios biciletano control alcoholemia,comprometida,aseg estacionado garzon marcha atras salir impactada parte trasera bicicleta circulaba ultima bicicleta unico tripulante caen bicicleta lesiones visibles aseg ofrecer asistencia llevaba hospital maniobro niega intervencion policial interv retiro propios medios biciletano control alcoholemia,aseg estacionado marcha atras salir impactada parte trasera bicicleta circulaba ultima bicicleta unico tripulante caen bicicleta lesiones visibles aseg ofrecer asistencia llevaba hospital maniobro niega intervencion policial interv retiro propios medios control alcoholemia
am    ,encontraba arrancando san martn interseccin avda huergo semaforo haba cambiado cruzando daltima doble manera imprevista moto vena daltima choca parte delantera vuela cae suelo ,concurrente,encontraba arrancando san martn interseccin avda huergo semaforo habia cambiado cruzando daltima doble manera imprevista moto venia daltima chocando parte delante vuela caen suelo,encontraba san martn interseccin avda semaforo habia cruzando daltima doble manera imprevista moto venia daltima chocando parte delante caen suelo
am    ,circulaba monteverde unica abrirme sobrepasar circulaba delante mio sale lateral moto embiste lateral izquierda moto cae piso llevaba casaco quiso ser asistido retir circulando moto,comprometida,circulaba monteverde unica abrirme sobrepasar circulaba delante mio sale lateral moto embiste lateral izquierda moto caen piso llevaba casaco quiso trasera asistido retiro circulando moto,circulaba abrirme sobrepasar circulaba delante mio sale lateral moto embiste lateral izquierda moto caen piso llevaba quiso trasera asistido retiro circulando moto
am    ,estacionado segui abro puerta delantera descender unidad embestido frente bicileta dicha puerta ocupante recuerdo tenia cae pavimento levanta propios medios manifestaba lesiones visibles retira circulando bicicleta dejar dato alguno desplazamientos ,comprometida,estacionado segun abro puerta delante descender unidad embestido frente bicileta dicha puerta ocupantes recuerdo tenia caen pavimento levanta propios medios manifestaba lesiones visibles retira circulando bicicleta dejar datos alguno desplazamientos,estacionado segun abro puerta delante descender unidad embestido frente bicileta dicha puerta ocupantes recuerdo tenia caen pavimento levanta propios medios manifestaba lesiones visibles retira circulando bicicleta dejar datos alguno desplazamientos
am    ,circulabamos cariboni pongo luz giro doblara triunvirato doblo tercero moto venia moto ambos caen piso levanta levanta llego intervencion policial,comprometida,circulaba cariboni pongo luz giro doblara triunvirato dolor tercero moto venia moto ambos caen piso levanta levanta llego intervencion policial,circulaba pongo luz giro triunvirato dolor tercero moto venia moto ambos caen piso levanta levanta llego intervencion policial
aci   ,circulaba ruta direccin gral hornos bicicleta venia delante mio voy pasando trato esquivar colisiona lateral derecha golpea parabrisas,comprometida,circulaba ruta direccin gral hornos bicicleta venia delante mio voy san trato esquivar colisionando lateral derecha golpea parabrisas,circulaba ruta direccin gral hornos bicicleta venia delante mio voy san trato esquivar colisionando lateral derecha golpea parabrisas
aa    ,vehiculo asegurado circulando gral paz cort losbulones rueda rueda salio desplazada impact und vehiculo,,vehiculo aseg circulando gral paz cort losbulones rueda rueda salio desplazada impactada und vehiculo,vehiculo aseg circulando gral paz rueda rueda salio impactada vehiculo
am    ,circulando gurruchaga freno interseccion mustoni venia nadie ultima cruzo venia moto alta velocidad vulvo frenar moto colisiona parte delantera lateral delantero izquierda moto cae intervencion policial same momento tenia datos seguro poseia licencia conducir tercero derivado hospital haedo datos tercero vega gonzalo alejandro motomel s kku,comprometida,circulando gurruchaga frena interseccion mustoni venia nadie ultima cruzo venia moto alta velocidad vulvo frena moto colisionando parte delante lateral delante izquierda moto caen intervencion policial same momento tenia datos asegurado poseia licencia conducir tercero derivado hospital haedo datos tercero vega gonzalo alejandro motomel asfalto kku,circulando gurruchaga frena interseccion venia nadie ultima cruzo venia moto alta velocidad frena moto colisionando parte delante lateral delante izquierda moto caen intervencion policial same momento tenia datos asegurado poseia conducir tercero derivado hospital haedo datos tercero vega gonzalo alejandro motomel asfalto
am    ,asegurado estacionado cordon derecha paris puerta delantera abierta buscando papeles sentado dentro unidad moto venia circulando misma embisti frente puerta abierta ocupante moto recuerda llevaba cay asfalto desplazamientos intervencion policial,comprometida,aseg estacionado cordon derecha paris puerta delante abierta buscando papeles sentado delantero unidad moto venia circulando mismo embistio frente puerta abierta ocupantes moto recuerda llevaba cayo asfalto desplazamientos intervencion policial,aseg estacionado cordon derecha puerta delante abierta buscando papeles sentado delantero unidad moto venia circulando mismo embistio frente puerta abierta ocupantes moto recuerda llevaba cayo asfalto desplazamientos intervencion policial
am    ,circulando ntra sra rosario llegar esquina carranza choco moto parte delan tera lateral izquierda moto sola persona cae piso presento sem b san martin motociclista trasladado atendido lugar lesiones aparente reirandonos lugar ser derivados comisaria hospital,comprometida,circulando ntra sra rosario llegar esquina carranza choco moto parte delante lateral lateral izquierda moto sola personas caen piso presento sem maniobro san martin motociclista trasladado atendido lugar lesiones aparente reirandonos lugar trasera derivados comisaria hospital,circulando sra rosario llegar esquina carranza choco moto parte delante lateral lateral izquierda moto sola personas caen piso presento maniobro san martin motociclista trasladado atendido lugar lesiones lugar trasera comisaria hospital
am    ,asegurado circulaba fray justo santa maria oro pasando bocacalle curapaligue moto venia luces edta ultima asegurado puede evitar chocarla frente motociclista llevaba cae capot luego piso levanto propios medios presentaba lesiones visibles ofrecimiento asegurado nego ir hospital llamar retiro andando moto,concurrente,aseg circulaba fray justo san maria oro san bocacalle curapaligue moto venia luces edta ultima aseg puede evitar choca frente motociclista llevaba caen capot luego piso levanta propios medios presentaba lesiones visibles ofrecimiento aseg nego retiro hospital llamar retiro andando moto,aseg circulaba fray justo san maria san bocacalle curapaligue moto venia luces ultima aseg puede evitar choca frente motociclista llevaba caen capot luego piso levanta propios medios presentaba lesiones visibles ofrecimiento aseg nego retiro hospital llamar retiro andando moto
aa    ,aseg saliendo reversa gge impacta parte trasera lateral izquierda tercero detenido arriba desplazamientosel tercero inform rasp,comprometida,aseg saliendo reversa gge impactada parte trasera lateral izquierda tercero detenido iba desplazamientos tercero inform rasp,aseg saliendo reversa gge impactada parte trasera lateral izquierda tercero detenido iba desplazamientos tercero
am    ,asegurado circculando baja velocidad lemos embestido moto sobrepasa ocup cae pavimento interv trasladado hosp malvinas dolor piernas,comprometida,aseg circculando baja velocidad lemos embestido moto sobrepasa ocupantes caen pavimento interv trasladado hospital malvinas dolor personas,aseg baja velocidad embestido moto sobrepasa ocupantes caen pavimento interv trasladado hospital malvinas dolor personas
am    ,redgreenlueredgreenlue asegurado circulaba h yrigoyen doblando moto intenta pasar choca asegurado guardabarros delantero derecha motociclista llevaba cae piso perdida conocimiento ,comprometida,redgreenlueredgreenlue aseg circulaba marcha yrigoyen doblando moto intenta pasar chocando aseg guardabarros delante derecha motociclista llevaba caen piso perdida conocimiento,redgreenlueredgreenlue aseg circulaba marcha yrigoyen doblando moto intenta pasar chocando aseg guardabarros delante derecha motociclista llevaba caen piso perdida conocimiento
