,cod_accidente,descripcion_del_hecho - Final,responsabilidad
259,am    ,iba circulando centenario uruguayo girar mansilla realizando maniobra giro colisionado parte trasera moto circulaba detras intenta pasarme moto iba sola persona cae piso intervension policial trasladan tercero hospital finocchieto avellaneda pusieron yeso desplazamientos,comprometida
260,am    ,circulando rosales llegar cruce maipu impactado tercero lateral delantero derecha tercero cayo piso intervencin policial tercero retiro lugar propios mediosampliamos v asegurado ,comprometida
261,aa    ,aseg saladillo tercero aparece costado izquierda ibanez aseg colisiona puerta trasera trompa aseg tercero lesionado iba parte atras tercero ,concurrente
262,peaton,redgreenlueredgreenlue aseg saliendo estacionado tordo marcha atras golpe lateral derecha trasero peaton arroja bolso peaton cae pavimento levanto retiro discusion previa anterior persona ,comprometida
263,cicl  ,asegurado circulaba libertador cruzando pampa produce colision part edelantera ciclista circulaba pampa ciclista cae piso lesiones visibles brazos trasladado,concurrente
264,am    ,detenida ingresar estacionamiento cancha river moto circulaba toca parte delantera motociclista cae piso intervencin policial,concurrente
265,am    ,asegurado circulando iberlucea colisiono parte delantera tercero moto ocupante colocado cayo suelo tercero circulaba suarez tercero levanto medios intercambiaron datos siguio ,comprometida
266,aa    ,venia circulando espinosa cruce arengreen viniendo vehculo puerta delantera parte guardabarros delantero derecha luego auto subi vereda impactando pared luego choque vehiculo subi vereda termina impactando contraa pared vivienda esquina hija tercero golpe parietal derecha intervencion same tercero quizo trasladara hija hospital lesionados ros involucrados stro mas alla declarado datos tercero ana jolly volkswagen voyage jyd boston,concurrente
267,am    ,venia crisostomo alvares llegando portela choque moto venan personas seguro vehculo moto frena golpe frena auto portela atras lugar concurri polica tampoco habia semaforos calles ampliamos asegurado ratifica mecanica choco parte trasera motocicleta choque leve llamaron terceros cruzaron datos qy lugar,comprometida
268,am    ,redgreenlue aseg circulando marconial girar hacia interseccion guino puestoes colisionado lateral trasero derecha parte delantera terceroque circulaba gualeguayun ocupantecon cascono cae pisono ,comprometida
269,peaton,redgreenlue aseg circulando ciudadela dobla don cristobalhaci colisiona persona espejo izquierda tercera cae piso aseg traslada casa tenia brazo hinchado ,comprometida
270,am    ,aseg circulaba re san martin habia moto adelnate empezar doblar ambos tomar cruce barrera moto frena aseg chcoa parte trasera ocupantes caen suelo ,comprometida
271,am    ,asegurado circulando mexico impacta tercero moto circulaba alta velocidad d funes parte delantera lateral derecha terc ocupantes moto producto mismo caen pavimento trasladados intervencion policial vhs retenidos comunicamos v asegurado ratifica mecanica hecho asegurado embiste lateral trasero derecha motocicleta ambos ocupantes motocicleta trasladados ambulanciano datos terceros ,comprometida
272,am    ,circulando triunvirato moto circulaba embsite parte lateral trasera moto iba sola persona cae piso ,comprometida
273,am    ,vehiculo asegurado circulaba esmeralda girando embiste moto izquierda guardabarro delantero izquierda ocupantes motocicleta caen luego levantan medios llevaban ,comprometida
274,am    ,maniobraba marcha atras salir vereda hacia balbin vena moto circulabdo misma detengo impacta parte trasera moto iba solo ocupante tena mismo cae pavimento ,comprometida
275,aa    ,aseg circulaba bogota comenzando cruzar carrasco impactado parte delantera tercero circulaba parte frontal tercero lesionesel asegurado amplio escrito original dejado oficina v cia anticipado copia ,comprometida
276,am    ,circulaba pampa delante mo circulaba moto llegar otamendi frena bruscamente intento frenar vehculo patina producto choco rueda trasera callendo ocupantes piso presentar leciones simple vistacontactamos v asegurado amplio informacion siniestro datos terceros manifesto llama juan ramon diaz dni acompanante jose mariano mas datos accidente dia horas aprox pampa valentin alsina lanus moto honda xr patente hxu moto circulaba delante mio freno bruscamente freno auto patina debido fuerte q habia monento golpeo rueda atras celular moto participo intercambios datos lugar hecho,comprometida
277,am    ,redgreenlue asegurado circulando alvarado empieza doblar hacia goncalvez embestido parte delantera parte delantera moto circulaba detras alvarado motociclista tenia unico tripulante cayo piso heridas visibles intervencion retiraron ambos propios medios desplazamientos ,comprometida
278,am    ,circulaba solis llegar interseccin intento doblar agarrar morenopor transito pude hacerlo detengoy apenas comenzando circular poder continuar solisaparece moto detras taxi embiste parte delantera parte delantera ocupantes ,comprometida
279,peaton,aseg circulaba medina nino cruzaba corriendo metros esquina toca delantero izquierda asegurado nene cae vereda presentaba raspn trasladado colegio asegurada all llamaron policias necesario trasladarlo centro medico,concurrente
280,cicl  ,girando hacia laprida cruzando cruce ffcc llegar primera bocacalle bicicleta parecer buscando proposito colisionar alguno autos circulabamos golpea lateral izquierda levanta agresivamente comienza auto arrojando golpes puno persona ,comprometida
281,am    ,venia circulando ciudad paz cruzar garcia rio aparece moto daltima colisiona parte delantera autoacto seguido motociclista cae auto luego pisome detengo bajo auto preguntarle dice bien va andando moto rapido intervencion policial medica motociclista sexo masculino,comprometida
282,am    ,aseg circulando detras moto frena aseg coliciono atras personas caen moto lesiones visibles mas vhsnos contactamos v asegurado efectos obtener mayores datos terceros mismo ratific meccnica hecho colisiono levemente moto preceda lleg frenar intercambiaron datos retiraron lugar propios medios ,comprometida
283,am    ,vehiculo asegurado detenido semaforo comenzar marcha colisiona parte delantera parte trasera moto raiz golpe moto golpea vehiculo adelante moto cae piso ,comprometida
284,am    ,vehiculo asegurado circulaba brandsen cruzar pergamino moto cirdulaba ultima colisiona lateral derecha motociclista cae piso llevaba ,concurrente
285,am    ,circulaba roca auto viene encima volanteo hacia toque moto moto iban personas caen suelo levantan ,comprometida
286,am    ,redgreenlue asegurado circulando martin rodriguez colisionado frente izquierda moto circulaba encalada desplazamientos personas circulaban moto cascos cayeron piso ,concurrente
287,am    ,encontraba detenido carril derecha bicentenario semaforo habilita comienzo girar ingresar peru moto pasar colisiona lateral derecha desplazamientos ocupantes caen piso ,comprometida
288,aa    ,aseg circulaba embiste parte delantera parte trasera tercero renault clio gris detuvo delante producto desplaza embistiendo renault clio azul detenido delante vehculo renault clio gris result lesionado,comprometida
289,cicl  ,aseg estacionado garzon marchas atras salir impacta parte trasera bicicleta circulaba ultimamujer bicicleta unico tripulante cae bicicleta lesiones visibles aseg ofrecer asistencia llevarla hospital ro niega intervencion policial interv retiro propios medios biciletano control alcoholemia,comprometida
290,am    ,encontraba arrancando san martn interseccin avda huergo semaforo haba cambiado cruzando daltima doble manera imprevista moto vena daltima choca parte delantera vuela cae suelo ,concurrente
291,am    ,circulaba monteverde unica abrirme sobrepasar circulaba delante mio sale lateral moto embiste lateral izquierda moto cae piso llevaba casaco quiso ser asistido retir circulando moto,comprometida
292,am    ,estacionado segui abro puerta delantera descender unidad embestido frente bicileta dicha puerta ocupante recuerdo tenia cae pavimento levanta propios medios manifestaba lesiones visibles retira circulando bicicleta dejar dato alguno desplazamientos ,comprometida
293,am    ,circulabamos cariboni pongo luz giro doblara triunvirato doblo tercero moto venia moto ambos caen piso levanta levanta llego intervencion policial,comprometida
294,aci   ,circulaba ruta direccin gral hornos bicicleta venia delante mio voy pasando trato esquivar colisiona lateral derecha golpea parabrisas,comprometida
295,aa    ,vehiculo asegurado circulando gral paz cort losbulones rueda rueda salio desplazada impact und vehiculo,
296,am    ,circulando gurruchaga freno interseccion mustoni venia nadie ultima cruzo venia moto alta velocidad vulvo frenar moto colisiona parte delantera lateral delantero izquierda moto cae intervencion policial same momento tenia datos seguro poseia licencia conducir tercero derivado hospital haedo datos tercero vega gonzalo alejandro motomel s kku,comprometida
297,am    ,asegurado estacionado cordon derecha paris puerta delantera abierta buscando papeles sentado dentro unidad moto venia circulando misma embisti frente puerta abierta ocupante moto recuerda llevaba cay asfalto desplazamientos intervencion policial,comprometida
298,am    ,circulando ntra sra rosario llegar esquina carranza choco moto parte delan tera lateral izquierda moto sola persona cae piso presento sem b san martin motociclista trasladado atendido lugar lesiones aparente reirandonos lugar ser derivados comisaria hospital,comprometida
299,am    ,asegurado circulaba fray justo santa maria oro pasando bocacalle curapaligue moto venia luces edta ultima asegurado puede evitar chocarla frente motociclista llevaba cae capot luego piso levanto propios medios presentaba lesiones visibles ofrecimiento asegurado nego ir hospital llamar retiro andando moto,concurrente
300,aa    ,aseg saliendo reversa gge impacta parte trasera lateral izquierda tercero detenido arriba desplazamientosel tercero inform rasp,comprometida
301,am    ,asegurado circculando baja velocidad lemos embestido moto sobrepasa ocup cae pavimento interv trasladado hosp malvinas dolor piernas,comprometida
302,am    ,redgreenlueredgreenlue asegurado circulaba h yrigoyen doblando moto intenta pasar choca asegurado guardabarros delantero derecha motociclista llevaba cae piso perdida conocimiento ,comprometida
303,aa    ,circulando casn juan llegar interseccion intenente alvear produce colision parte delantera parte lateral tercero desplazamientos tercero sufre lesiones personano ,comprometida
304,am    ,asegurado circulando balizas rivadavia momento maniobrar ingresar garage misma produce colision tercero moto intent sobrepasar aseg termina impactando lateral derecha auto ocupantes moto caen piso levanta medios intervencion policial retiraron moto terc registro pedidos,comprometida
305,am    ,asegurado circulaba cnel juan terrada colisionado parte lateral delantera parte delantera moto circulaba bernardino rivadavia unico ocupante moto tenia cayo piso presentaba lesiones visibles trasladado centro medico moto asegurado secuestrados,comprometida
306,cicl  ,llegar direccion indicada estaciono abrir puerta descender produce colision bicicleta mitad misma,comprometida
307,am    ,asegurado circulaba munoz doblar izquierda charlone moto venia munoz embiste puerta delantera izquierdaueirda moto iba sola persona recuerdo tenia cae suelo moto cayo arriba aseg lllevo clinica sarmiento cel,comprometida
308,aa    ,aseg detenido semaforo dorrego impactado parte trasera parte delantera tercero circulaba detras desplazamientos lesionados aseg sufrio latigazo amigo novia hacen atender hospital latigazo tambien intervinientes,discutida
309,am    ,asegurado circulaba villegas dispone doblar moto venia detras adelanta roza espejo retrovisor auto asegurado habia auto golpeael asegurado ,comprometida
310,aa    ,aseg maniobra cambiar carril centenario colisiona lateral trasero derecha lateral trasero izquierda tercero detenido misma semaforo lesinoados desplazamientos,comprometida
311,am    ,asegurado detenido semaforo impactado moto parte trasera parte frontal motosolo persona moto cae piso tenia prsento lesion asiste desconoce trasladan centro medico asegurado retira ,comprometida
312,am    ,transitaba corrientes metros llgar acevedo observ oun lugar estacionado desplazo hacia vereda estacionar realizo maniobra alcanzo tener contacto moto encerrar moto moto opcion pegar lateral delant izquierda espejcabe aclarar danos gdi espejo pese contacto hizo vuelta asisti rapidamente moto verlo presetanba ningun tipo lesion visible solo tenia dolor piernas golpeo moto datos tercero costa julian eduardo honda cbr ajpl atm,comprometida
313,am    ,encontraba circulando donato alvarez dispongo doblar hacia ingreso belaustegui siento lateral derecha delantero producido tercero moto circulaba donato alvarez paso micro q roto donato alvarez apareciendoinesperadamente mismo cae mismo cae piso encontraba solo poseia informo encontraba trabajando poseia lesiones visibles hace presnete personal medico hace presnete personal policial q encontraba lugar retirandose tercero propios medios moto mas terceros lesionados involucrados datos tercero frias mariano martin yamaha dpj atm,comprometida
314,am    ,estacionado intencion ingresar cochera enfrente momento pasa moto gran velocidad colisiona parte delantera auto producto hecho moto cae piso luego metros deteiene intercambiamos datos luego retira propios medios intervencion medica policial presentaba lesiones simple vista datos tercero niz cristian jesus yamaha ixe nueva seguros,comprometida
315,peatã“n,asegurado circulaba holmberg maniobra girar hacia congreso tucuman impacta lateral delantero derecha peaton cruzaba congreso tucuman desplazamientos peaton cae piso presentaba lesiones quiere ser trasladado hospital asegurado asegurado lleva domicilio ,comprometida
316,aa    ,redgreenlue asegurado circulaba aguero sur norte tercero circulaba aguero contramano alta velocidad invade carril asegurado mas asegurado intenta esquivarlo puede evitar tercero choque lateral derecha frente choque resulto lesiones terceroel asegurado ,discutida
317,am    ,asegurado circulando fray torres doble girar esquina colisionado frente moto circulaba torres contrario desplazamientos persona circulaba moto cayo piso ,comprometida
318,am    ,asegurado circulando colectora gral paz bajada gabriela mistral luz giro ro moto circulaba ultima detras aseg decide pasarlo tambien ambos maniobran izquierda aseg embiste parte trasera parte delanteera motomotociclista cascounico tripulanteno cae pisose agarra camionetasin lesiones visiblesaseg ofrece llevarlo hospitalse retira propios medioscree circulando motosin control alcoholemiasin traslado ambulacia policial,comprometida
319,aa    ,haba trafico aseg abre hacia paraintentar pasar ingresando roza consu lateral aseg parte frontal lado derecha solrballesterd gmailcom,
320,am    ,circulo santa sofia llegar interseccion jose maria perez moto venia gran velocidad choca lateral derecha vehiculo,comprometida
321,aa    ,vhl aseg circulando penavhl tercero circulanbdo gral belgrano asegurado indica asoma cruzarno semaforo tercero colisiona lateral derecha lateral izquierda vhl asegurado lesiones b luis gonzalo agustin,comprometida
322,peaton,circulando gral juan lavalle altura interseccion jean jaures caba bs as peaton encontraba cruzando momento tener paso semaforo circulando mientras cruzaba bocacalle embesto parte frontal tercero sube capot cae suelo asfalto sufre golpe pierde conocimiento bajo asistirla reincorpora medios tenia raspones raspon frente ,comprometida
323,am    ,vehiculo asegurado circulaba olavarria llegar rp ceden paso incorpore ruta moto sobrepasa vehiculo cede paso colisiona lateral delantero izquierda vehiculo asegurado moto iba sola persona motociclista cae piso llevaba ,comprometida
324,am    ,encontraba detenido rivadavia abri puerta trasera nieta momento moto estaciona delante mio doy vuelta avanzo toco levemente parte trasera iba solo ,comprometida
325,am    ,asegurado ingresaba cristiania moto venia cristiania alta velocidad choca asegurado lateral delantero derecha motociclista llevaba cae piso perdida conocimiento familia moticiclista llevo ,comprometida
326,aa    ,aseg estacionado comenzar marcha venia circulando coliciona frente delantero derecha danando tambien puerta delantera,comprometida
327,cicl  ,doblando artigas pasaba bicicleta nena toca patente caen piso desplazamientosampliamos v asegurado manifest ,comprometida
328,aa    ,circulando gandara llegar burela senora mira lado choca asegurado parte delantera parte delantera desplazamientos lesiones,comprometida
329,am    ,venia caracas conduciendo semaforo bajo velocidad voy km hora moviendome lentamente semaforo haba moto frenada voy lentamente acercandome semaforo toque atras moto apenas doblo matricula plastico persona paso auto tampoco,comprometida
330,aa    ,asegurado circulando monroe colisiona parte frontal parte trasera tercero detendo transito desplazamientos tercero lesionesel asegurado ,comprometida
331,aa    ,asegurado circulando ruta perder control auto carril poniendose manera perpendicular colisionado lateral izquierda frente camion arrastra metros luego desplaza produce asegurado vehiculo vw amarok circulaba contraria misma ocupante vhlo vw amarok sufre golpe ,comprometida
332,am    ,asegurado estacionado emilio mitre colisionado lateral derecha parte moto circulaba misma pierde control vehiculo vas calzada desplazamientos ,discutida
333,peatã“n,asegurado circulando grupo personas desprende cruzar produce lateral delantero izquierda asegurado maniobra hacia colisionando cordon parte delantera ,comprometida
334,am    ,circulando suarez ex peyret girar giro colocado ingresar duayen moto venia suarez contrario colisiona lateral trasero derecha desplazamientos moto iba sola persona cae piso sufre fractura clavicula llamo demoraban traslado hospitalse recibe formalizacion asegurado telefono contacto tercero,comprometida
335,am    ,asegurado iba circulando doble balizas encendidas maniobra ingresar domicilio produce colision moto venia misma lateral trasero derecha asegurado manubrio moto moto motociclista cayeron piso llevaba motociclista levanto propios medios,comprometida
336,aa    ,asegurado circulaba pampa gato pegue volantazoy pegue paragolpes delantero auto estacionado ,comprometida
337,chm   ,colisin choque cadena semaforo frenada bruscaampliamos v asegurado haba semaforo asegurado venia ultimo logra frenar colisionando rodado precedia delante iba suran delante vw gol cree adelante luego gol suran iban personas gol tambien ambos autos iba llamaron bomberos solo acerco hicieron alcoholemia solo asistieron suran,comprometida
338,am    ,asegurado circulaba dickman interseccion cucha cucha colisiona parte trasera moto ocupantes caen levantan medios intervencion policial ambulanciaamplio asegurado ,comprometida
339,am    ,asegurado girando hacia balbastro hacia pje juan castro coloca moto costado impacta lateral derecha vehiculo asegurado tercero trastabillo cayo asfalto persona moto recuerda precisamente llevaba colocado cree intervencion policial desplazamientos,comprometida
340,aa    ,asegurado circulando embiste parte delantera tercero frena golpe transito tercero presenta dolor retira asistencia desplazamientos,comprometida
341,peaton,aseg circulaba sarandi doblar godoy cruz imprevistamente aseg golpea cae piso sabe muchacho tambien golpe levant enseguida asegurado quiere llevarla hospital niegan intercambian datos retiraron caminando manifesto leve dolor,comprometida
342,cm    ,asegurado estacionado cuba dispone salir moto venia circulando cuba advierte asegurado saliendo colisiona asegurado lateral derecha parte media moto cae piso contaba documentacion moto solo dni ampliara sucursal llama titular intervencion polcial,comprometida
343,am    ,circ san martn repente vehculo embestirlo maniobro toco moto motociclista usaba caso cae pisosin intervencin policial,comprometida
344,aci   ,aseg encontraba circulando gral jose g artigas girar dr juan bautista justo ingresar estacion servicio bicicleta venia ultima impacta auto aseg presenta danos parte delantera conductora bicicleta cae capot aseg traslada centro medico golpe intervencion,comprometida
345,aa    ,conductora asegurada llega frenar toca parte trasera auto adelante tercero conductora acusa latigazo cervical desplazamiento,comprometida
346,aa    ,asegurado detenido semaforo gral hornos senalizacion mismo comenzar circular retoma marcha colisiona levemente tercero tenia delante impactando parte delantera parte trasera tercero manifestia dolores desplazamientos,comprometida
347,aa    ,aseg doblaba hacia constituyentes colisionada angulo delantero izquierda lateral derecha peugeot patente aaxp circulaba ultima caul realiza mala maniobra sobrepasando colectivo detenido semaforos lesiones desplazamientos,comprometida
348,am    ,circulando san martn llegar esquina pone balizas detener camioneta cordn golpe lado trasero derecha moto intent pasar camioneta auto estacionado moto qued encerrada golpe camioneta auto estacionado perdio equilibrio cay delante auto estacionado ,comprometida
349,cicl  ,circulando llegar interseccion avanzo lentamente reductor velocidad colisionado lateral delantero izquierda ero bicicleta solo ocupantes circulaba cae pavimento,concurrente
350,aa    ,asegurado doblaba laprida hacia centenario colisiona parte delantera peaton cruzaba ser encadilado ve peatron senora retiro propios medios ,comprometida
351,am    ,aseg circulando varela llegar interseccion dispone doblar izquierda tomar ultima colisionado lateral izquierdauierdo moto circulaba vergara detras aseg motociclista iba cae suelo telefono celular intervension policial trasladan hospital evita pueblo desplazamientos,comprometida
352,am    ,redgreenlue asegurado circulaba triunvirato llegar interseccin brandsen asegurado frena impactado lateral izquierda moto apareci asegurado motociclista tena cay suelo ,concurrente
353,am    ,jvh aseg circulaba cosquin cruzar interseccion impacta parte delantera moto circulaba unanuemoto moto cae piso tenia lesion aseg traslada hospital santojanniampliamos asegurado manifesto iba cosquin moto circulaba unanue habia semcforos asegurado embisti tercero manifiesta tercero cay fuertemente pavimento lloraba dolor asegurado resolvi trasladarlo hospital santojanni tenia lesion luego dejo hospital fuele consultamos llam asegurado manifesto tercero desesperado decia moria dolor izquierda esperar,comprometida
354,aa    ,circunstancias mvil policial encontraba circulando balizas sirenas encendidas gral jose gervasio artigas llegar interseccin gral mosconi semaforo cambiando vehculo particular encontraba mencionada adelanta colisiona mvil sector acompanante producto hecho patrullero posee danos lateral derecha abarcando ambas puertas vidrio delantero guardabarros trasero hecho terceros lesionados agregan danos estacionamiento accesorios denunciados anteriormente razones serviciono participo concurri lugar hecho labrar sumariointercambiaron datos retiraron rodados ocupantes lugar,concurrente
355,peatã“n,circulaba carlos calvo cruzado mitad interseccion virrey liniers tercero circulaba ultima avanzo gran velocidad cruzar impacte parte trasera parte delantera pedirle datos manifesto mareada concurrio trasladada same terceros involucrados datos tercero barbara yanina buono pugh logan ocz,comprometida
356,am    ,asegurado maniobrando salir estacionar paz colisionado angulo delantero izquierda tercero moto persona llamaron asistir tercero lesiones ,comprometida
357,am    ,circulando andonaegui terminando cruzar interseccin victorica manera imprevista moto polica venia daltima choca parte delantera parte lateral trasera cae pisoluego levanta propios mediossin puesto vhs involucrados lesionados ,discutida
358,aa    ,circulando camioneta ford ranger alte brown semaforo trate sobrepasar lado derecha automovil fiat siena rozando parte trasera caja guardabarros delantero derecha provocandole abolladura,comprometida
359,am    ,asegurado circulando directorio cerrada arreglos interseccion primera junta moto encierran cominezan insultarme contramano intento salir subiendome casi cordon evitar embestirlos b moto manifesto embisto di celular datos manifesto choque rueda trasera golpes dejo aclarado nunca contacto b moto,comprometida
360,am    ,encontraba circulando warnes comienzo doblar digm ande izquierda alli motoque venia contraria esrnes sobrepasa auto verme frenadado asfalto patina colisiona camionetame bajo l epregunto estame dice duele msulo saco moto abajo d ela camioneta pasamos datoslo llevo hospital durand lugar trabaja llevaba datos tercero yactayo cortez julio andres gilera smash lag atm,comprometida
361,am    ,asegurado circulando j miralla impacta parte delantera tercero moto circulaba chascomus mas vhs involucrados ocupantes moto cascos puestos caen piso levantan pos medios intervencion policial,comprometida
362,am    ,viniendo general belgrano pongo giro doblar frente viene moto mts aproximadamnete choca frente ,comprometida
363,am    ,asegurado circulando avellaneda colisiona parte trasera tercero moto delante detienecaen piso incorporan solos femenino masculino raspones varios,comprometida
364,aa    ,aseg circulando carril lento pasco mitad cuadra vehiculo circulaba misma gira hacia invadiendo carril aseg colocar balizas aseg maniobra hacia esquivarlo impacta parte delantera optica capot guardabarro paragolpe guardabarro trasero derecha tercero circulando misma presenta rectificacion amigo aseg golpes hombro lesiones tercero desplazamientos,discutida
365,am    ,redgreenlue circulaba ruta doblar hacia bell adelante habia auto frenado semafor intento abrirme pasar moto pasa frena adelante intento salir toco parte delantera parte trasera motoclista cayo moto eros involucrados datos tercero desconoce lja ,comprometida
366,am    ,asegurado circulando pj agrelo tercero moto circulando muniz impacta lateral delantero izquierda aseg solo ocupante llevaba puesto cae pavimento levanta intervencion policial retiro moto ,comprometida
367,am    ,iba circulando camargo inicio maniobra superacion vehiculo lento veo venia moto siento parte trasera auto maniobra golpeo moto cae asfalto ayudo motociclista reincorporarse tenia golpe fuerte moto sufrio danos parte delatera moto pesar golpe funciono bien contactamos asegurado ratificar mecanica obtener mayores datos tercero cuanto hecho manifiesta traspasando vehiculo realizar maniobra produce moto iba par moto sufri golpe fuerte retiro lugar propios medios quiso llamar participo aclara appelido tercero paez datos cuales pasara luego d,comprometida
368,peaton,redgreenlueuc aseg circulando boulogne sur mer girar hacia ovidio lagos colisiona parte delantera peaton cruzaba cae asfalto trasladado hospital medio dieron alta mismo dia ,comprometida
369,am    ,asegurado circulando b matienzo doble circulacion maniobrar ingresar fredes aparece tercero moto circulaba misma contrario frenar esquivar aseg pierde control moto cae piso existio contacto vhs solo ocupante moto llevaba puesto intervencion policial retiro moto,comprometida
370,am    ,asegurado circulaba holmberg maniobra hacia moto pasa roza sigue metros pierde equilibrio cae incorpora solo intervencion policial,comprometida
371,peatã“n,vhc asegurado gabriela mistral comienza virar direccion lentamente marco fuerte parabrisas empanado logra advertir peaton cruzando produce colision extremo delantero derecha persona cae cinta asfaltica llamaron hizo presente familia tercero traslada centro medico desconozco tenia golpe sangrante llamaron policiasin desplazamientostel contactamos v asegurado ,comprometida
372,am    ,girando yrigoyen ingresar san nicolas transito contraria encontraba detenido transito dan paso casi ingresando san nico moto sobrepasa vhs detenidos dan paso moto termina impactando lateral delantero derecha produce caida ocupantes incorporan propios medios ,comprometida
373,aa    ,circulaba hiplito yrigoyen llegar interseccion esteban arce pude frenar colisiono conmi frente parte trasera tercero antecedia chevrolet celta lcx vez desplaza hacia adelante embistendo frente parte trasera b antecedia renault logan nkg dolor acompananate dolor celta indican lesiones asiste dirigimos cria alte brown b longchamps rodado logan lesiones dado viajabamos solos,comprometida
374,am    ,aseg circualndo sastre tercero circulando helguera interseccion ambas calles aseg colisiona parte delnatera tercero ocupante cae suelo trasnadado ambulanciaamplimos aseguradodemoraron auto hicieron alcoholemia tercero prioridad paso asegurado embistenteaun ,comprometida
375,am    ,circulaba buenos aires llego rio d moto venia ultima lado izquierda adelante puedo evitar chocarlo parte delantera chico moto cae recuerdo venia simple vista dolia quiso ser atendido ,comprometida
376,am    ,aseg emprender marcha semaforo alcortacolisiona paragolpe delantero parte trasera terceroque encontraba detenido mismaun ocupantecon cascose cae pisono ,comprometida
377,am    ,encontraba estacionado abrir levemente puerta acompanante moto circulaba alta velocidad impacta misma unico oicupante moto cae piso llevaba tenia lesiones visibles llamo same traslada tercero precaucion ,comprometida
378,aa    ,redgreenlue circulando don bosco frenar imprevistamente coche adelante produjo colisin baja velocidad frente parte posterior baden desplazamientos tercero manifest dolencias trasladado hospital escobar parte medico indico presentaba lesiones ,comprometida
379,am    ,asegurado circulaba carabelas cruzar ramella colisionado lateral tercero moto circulaba ultima mencionada persona moto colocado cayo asfalto ayudado levantarse vecinos hizo presente trasladado hospital quilmes desplazamientos,discutida
380,aci   ,aseg estacionado abrir puerta bicicleta circulaba alli desplazamientos lesionados bici persona levanta retira medios ,comprometida
381,am    ,circulando derqui llegar julio lopez achica hace cruzar aparece moto produce colicion persono iva sola cae piso desplazamientos,comprometida
382,am    ,vehiculo asegurado giraba rivadavia embestido moto pasa puerta delantera motociclista caese levanta mediosllevaba cascono acepta intervenga nadie retirandose medios,comprometida
383,aca   ,vehiculo asegurado circulaba san joseembiste moto patente izquierda paragolpe delantero derecha cano escapeel motociclista acompanante caenel moticlcista levanto mediosla acompanante cordonel llamo sameluego same llaman confirmar direccion desiste pedido motociclista acompanantesolo motociclista llevaba cascono brindan datos retirandose ambos motose acercaron sucedio peatones pasaban asegurada conducia yonathan d ,concurrente
384,,vehiculo asegurado circulando salguero semaforo segun manifiesta aparentemente quedo dormido colisiona parte delantera parte delantera tercero circulaba corrientes raiz golpe taxista sube vereda golpea local ,comprometida
385,am    ,aseg circulando cordoba tercero circulando juan b justo iterseccion ambas vias tercero colisiona parte delantyera parte lat lesioandos deplzamientos asegurada gira hacia giro permitido juan b justo hacia cordoba acompanante tercero resulta lesionado trasladado centro asistencial,comprometida
386,am    ,asegurado circulando charcas esquina eduardo costa cuanto moto personas frenan delante colisiona caen ambos ocupantes ,comprometida
387,am    ,entrando vehiculo garage metan choca moto lateral derecha lesioneshubo intervencion agente policial lugarsin ambulanciacontactamos v asegurado obtener mayor informacion tercero mismo ,comprometida
388,am    ,aseg retoma marcha dr luis belaustegui comienza doblar izquierdauierdauierdauierda giro izquierdauierdauierdauierda colocado moto detenida izquierdauierdauierdauierda retoma marcha choca lateral izquierdauierdauierdauierda parte delanteraterrero solo ocupante cae suelo poseis raspada deplazamiento ,comprometida
389,aci   ,asegurado detenido esperando avanzar toca rueda trasera persona bicicleta ocasionandole lesiones derecha tipo raspon asegurado traslada centro medico barrio santa marta intervencion policial,comprometida
390,aa    ,asegurado circulando lincoln cruzando joaquin v gonzalez colisionado lateral delantero derecha parte delantera tercero circulaba joaquin v gonzalez desplazamientos lesiones,concurrente
391,am    ,asegurado circulando balbin gira tomar arias luego cruzar boulevard balbin impactado lateral delantero derecha tercero moto circulaba balbin sobrepaso tercero habria dado paso previamente asegurado moto sola persona cae asfalto ,comprometida
392,aa    ,encontraba detenido sarmiento nortesur abre semaforo arranco tenia adealnte avanzo tal motivo impacte frente parte trasera ro remis presentaba danos previos zona ambas opticas traseras tenia danadas paragolpe tapa baul tenia danos previos involucrados lesiones datos tercero migues nestor aldo fiat fwb amca,comprometida
393,am    ,asgeurado circulando arias cruzar bocacalle paunero colisinado tercero circulando ultima moto lateral trasera tercero solo moto cae piso presento dolencia partes inferiores intervine trasladan hospital jose c paz ,discutida
394,aa    ,circulaba paunero cruzando coronel suarez auto circulaba ultmima gran velocidad colisiona parte delantera lateral trasero izquierda haciendo auto gire casi grados mismo eje causa asegurado venia acompanante sufre lesiones cervical tercero negaba brindar datos base llama polica desplazamiento,discutida
395,aa    ,asegurado circulando parral llegar interseccion ambrosetti semaforo tercero colisiona parte frontal lateral derecha asegurado interv deriva policilinico central san justo interv comisaria distrital noroeste san justo cond tercero golpes desplazamientos,concurrente
396,am    ,iba auto tabarem llego esquina carlos reyles moto venia delante frena golpe da tiempo esquiba choco ,comprometida
397,aci   ,asegurado circulando esquina vergara bicicleta colisiona parte delantera rueda delantera tercero tercero presento lesiones aparentes manifesto dolencia intervencion interv desplazamientos,comprometida
398,peaton,aseg maniobrando salir estacion servicio impacta tercero parado vereda misma parte delantera peaton cae piso lesiones visibles intervencion va caminandod,comprometida
399,am    ,asegurado saliendo supermercado ingresando cno gral belgrano moto circulaba misma contrario impacta parte delantera vehiculo asegurado ocupante puesto cae piso trasladan hospital lesiones visibles ,comprometida
