cod_accidente,descripcion,fuzzy,no_hapaxes,responsabilidad
am    ,asegurado circulando directorio mano calle cerrada arreglos interseccion primera junta vh moto encierran cominezan insultarme contramano intento salir subiendome casi cordon evitar embestirlos b moto manifesto embisto di celular datos manifesto choque rueda trasera golpes pierna dejo aclarado nunca contacto b moto,asegurado circulando directorio mano calle cerrada arreglos interseccion primera junta vh moto encierran cominezan insultarme contramano intento salir subiendome casi cordon evitar embestido b moto manifesto embistio di celular datos manifesto choque rueda trasera golpes pierna dejo aclarado nunca contacto b moto,asegurado circulando directorio mano calle interseccion primera junta vh moto insultarme contramano intento salir casi cordon evitar embestido b moto manifesto embistio di celular datos manifesto choque rueda trasera golpes pierna dejo contacto b moto,comprometida
am    ,encontraba circulando warnes comienzo doblar digm ande mano izquierdaes alli motoque venia mano contraria esrnes sobrepasa derecha auto verme frenadado asfalto mojado lluvia patina colisiona camionetame bajo l epregunto estame dice duele msulo pierna saco moto abajo d ela camioneta pasamos datoslo llevo hospital durand lugar trabaja llevaba casco datos tercero yactayo cortez julio andres gilera smash lag atm,encontraba circulando warnes comienzo doblar digm ande mano izquierda alli motoque venia mano contraria esrnes sobrepasa derecha auto verme frenadado asfalto mojado lluvia patina colisiona camionetame bajo l epregunto estame dice duele suelo pierna saco moto abajo d ela camioneta pasamos datos llevo hospital durand lugar trabaja llevaba casco datos tercero yactayo cortez julio andres gilera smash lag atm,encontraba circulando warnes comienzo doblar mano izquierda alli motoque venia mano contraria sobrepasa derecha auto verme asfalto mojado lluvia patina colisiona bajo l dice duele suelo pierna saco moto abajo d ela camioneta pasamos datos llevo hospital lugar trabaja llevaba casco datos tercero julio gilera smash atm,comprometida
am    ,asegurado circulando calle j miralla impacta parte delantera tercero moto circulaba calle chascomus mas vhs involucrados dos ocupantes moto cascos puestos caen piso levantan pos medios ,asegurado circulando calle j miralla impacta parte delantera tercero moto circulaba calle chascomus mas vhs involucrados dos ocupantes moto cascos puesto caen piso levanta pos medios,asegurado circulando calle j miralla impacta parte delantera tercero moto circulaba calle chascomus mas vhs involucrados dos ocupantes moto cascos puesto caen piso levanta medios,comprometida
am    ,viniendo camino general belgrano pongo giro doblar derecha frente viene moto mts aproximadamnete choca frente ,viniendo camino general belgrano pongo giro doblar derecha frente viene moto mts aproximadamnete choca frente,viniendo camino general belgrano pongo giro doblar derecha frente viene moto mts choca frente,comprometida
am    ,asegurado circulando avellaneda colisiona parte trasera tercero moto delante detienecaen piso incorporan solos femenino masculino raspones varios policia ambulancia,asegurado circulando avellaneda colisiona parte trasera tercero moto delante detienecaen piso incorporan solo femenino masculino raspones varios policia ambulancia,asegurado circulando avellaneda colisiona parte trasera tercero moto delante piso incorporan solo femenino masculino raspones varios policia ambulancia,comprometida
aa    ,vh aseg circulando carril lento av pasco mitad cuadra vehiculo circulaba misma gira hacia derecha invadiendo carril aseg colocar balizas aseg maniobra hacia derecha esquivarlo impacta parte delantera izquierda optica capot guardabarro paragolpe guardabarro trasero derecho tercero circulando misma conductor presenta rectificacion cuello amigo conductor aseg golpes rodilla hombro lesiones vh tercero desplazamientos,vh aseg circulando carril lento av pasco mitad cuadra vehiculo circulaba mismo gira habia derecha invadiendo carril aseg colocar balizas aseg maniobra habia derecha esquivarlo impacta parte delantera izquierda optica capot guardabarro paragolpe guardabarro trasero derecha tercero circulando mismo conductor presentaba rectificacion cuello amigo conductor aseg golpes rodilla hombro lesiones vh tercero desplazamientos,vh aseg circulando carril lento av pasco mitad cuadra vehiculo circulaba mismo gira habia derecha invadiendo carril aseg colocar balizas aseg maniobra habia derecha esquivarlo impacta parte delantera izquierda optica capot guardabarro paragolpe guardabarro trasero derecha tercero circulando mismo conductor presentaba cuello amigo conductor aseg golpes rodilla hombro lesiones vh tercero desplazamientos,discutida
am    ,redgreenlue circulaba ruta doblar hacia bell adelante vh habia auto frenado semafor verde intento abrirme pasar vh moto pasa derecha frena adelante intento salir toco parte delantera parte trasera motoclista cayo moto eros involucrados datos tercero desconoce lja ,redgreenlue circulaba ruta doblar habia bell delante vh habia auto frena semafor verde intento abrirme pasar vh moto pasa derecha frena delante intento salir toco parte delantera parte trasera motoclista cayo moto eros involucrados datos tercero desconoce lja,redgreenlue circulaba ruta doblar habia bell delante vh habia auto frena semafor verde intento abrirme pasar vh moto pasa derecha frena delante intento salir toco parte delantera parte trasera motoclista cayo moto eros involucrados datos tercero desconoce,comprometida
am    ,asegurado circulando calle pj agrelo tercero moto circulando calle muniz impacta lateral delantero izquierdo aseg solo ocupante llevaba casco puesto cae pavimento levanta ,asegurado circulando calle pj agrelo tercero moto circulando calle muniz impacta lateral delantero izquierdo aseg solo ocupante llevaba casco puesto cae pavimento levanta,asegurado circulando calle tercero moto circulando calle muniz impacta lateral delantero izquierdo aseg solo ocupante llevaba casco puesto cae pavimento levanta,comprometida
am    ,iba circulando camargo inicio maniobra superacion vehiculo lento veo venia moto siento impacto parte trasera auto maniobra golpeo moto cae asfalto ayudo motociclista reincorporarse tenia golpe fuerte rodilla moto sufrio danos parte delatera moto pesar golpe funciono bien contactamos asegurado ratificar mecanica obtener mayores datos tercero cuanto hecho manifiesta traspasando vehiculo realizar maniobra produce impacto moto iba par conductor moto sufri golpe fuerte rodilla retiro lugar propios medios quiso llamar ambulancia policia participo aclara appelido tercero paez datos cuales pasara luego d,iba circulando camargo inicio maniobra superacion vehiculo lento veo venia moto siento impacto parte trasera auto maniobra golpeo moto cae asfalto ayudo motociclista reincorporarse tenia golpe fuerte rodilla moto sufrio datos parte delantera moto pesar golpe funciono bien contactamos asegurado ratificar mecanica obtener mayores datos tercero cuanto hecho manifiesta traspasando vehiculo realizar maniobra produce impacto moto iba par conductor moto sufri golpe fuerte rodilla retiro lugar propios medios quiso llamar ambulancia policia participo aclara appelido tercero paez datos cuales pasara luego d,iba circulando camargo inicio maniobra vehiculo lento veo venia moto siento impacto parte trasera auto maniobra golpeo moto cae asfalto ayudo motociclista tenia golpe fuerte rodilla moto sufrio datos parte delantera moto pesar golpe bien contactamos asegurado mecanica obtener mayores datos tercero cuanto hecho manifiesta vehiculo realizar maniobra produce impacto moto iba par conductor moto sufri golpe fuerte rodilla retiro lugar propios medios quiso llamar ambulancia policia participo aclara tercero datos cuales pasara luego d,comprometida
peaton,redgreenlueuc vh aseg circulando calle boulogne sur mer lluvia girar hacia calle ovidio lagos colisiona parte delantera peaton cruzaba cae asfalto trasladado hospital medio ambulancia dieron alta mismo dia ,redgreenlueuc vh aseg circulando calle boulogne sur mer lluvia girar habia calle ovidio lagos colisiona parte delantera peaton cruzaba cae asfalto trasladado hospital medios ambulancia dieron alta mismo dia,redgreenlueuc vh aseg circulando calle sur lluvia girar habia calle lagos colisiona parte delantera peaton cruzaba cae asfalto trasladado hospital medios ambulancia dieron alta mismo dia,comprometida
am    ,asegurado circulando av b matienzo doble circulacion maniobrar mano izquierda ingresar calle fredes aparece tercero moto circulaba misma contrario frenar esquivar aseg pierde control moto cae piso existio contacto vhs solo ocupante moto llevaba casco puesto ,asegurado circulando av b matienzo doble circulacion maniobra mano izquierda ingresar calle fredes aparece tercero moto circulaba mismo contrario frena esquivar aseg pierde control moto cae piso embistio contacto vhs solo ocupante moto llevaba casco puesto,asegurado circulando av b doble circulacion maniobra mano izquierda ingresar calle aparece tercero moto circulaba mismo contrario frena esquivar aseg pierde control moto cae piso embistio contacto vhs solo ocupante moto llevaba casco puesto,comprometida
am    ,asegurado circulaba holmberg maniobra hacia izquierda moto pasa izquierda roza sigue metros pierde equilibrio cae casco incorpora solo ,asegurado circulaba holmberg maniobra habia izquierda moto pasa izquierda roza sigue metros pierde equilibrio cae casco incorpora solo,asegurado circulaba holmberg maniobra habia izquierda moto pasa izquierda roza sigue metros pierde equilibrio cae casco incorpora solo,comprometida
peatã“n,vhc asegurado gabriela mistral comienza virar direccion lentamente marco fuerte lluvia parabrisas empanado logra advertir peaton cruzando produce colision extremo delantero derecho persona cae cinta asfaltica llamaron ambulancia hizo presente familia tercero traslada centro medico desconozco tenia golpe sangrante cabeza llamaron policiasin desplazamientostel contactamos v asegurado formalizo oficina lomas zamora mismo realiza maniobra giro izquierda peaton cruzando interseccion vio lluvia llamaron ambulancia lleg familiar conocido tercero pas lugar llevaron hospital asegurado retiro lugarfinalmente participo policia ambulancia lesiones gravedad,vhc asegurado gabriela mistral comienza virar direccion lentamente marco fuerte lluvia parabrisas empanado logra advertir peaton cruzando produce colision extremo delantero derecha persona cae cinta asfaltica llamaron ambulancia hizo presente familia tercero trasladado centro medios desconozco tenia golpe sangrante cabeza llamaron policiasin desplazamientos contactamos v asegurado formalizo oficina lomas zamora mismo realiza maniobra giro izquierda peaton cruzando interseccion vio lluvia llamaron ambulancia llegar familiar conocido tercero pas lugar llevaron hospital asegurado retiro lugarfinalmente participo policia ambulancia lesiones gravedad,vhc asegurado gabriela mistral comienza direccion lentamente fuerte lluvia parabrisas logra advertir peaton cruzando produce colision extremo delantero derecha persona cae cinta asfaltica llamaron ambulancia hizo presente familia tercero trasladado centro medios desconozco tenia golpe cabeza llamaron desplazamientos contactamos v asegurado formalizo oficina lomas zamora mismo realiza maniobra giro izquierda peaton cruzando interseccion vio lluvia llamaron ambulancia llegar familiar conocido tercero pas lugar llevaron hospital asegurado retiro participo policia ambulancia lesiones,comprometida
am    ,girando izquierda avenida yrigoyen ingresar calle san nicolas transito mano contraria encontraba detenido transito dan paso casi ingresando san nico moto sobrepasa vhs detenidos dan paso derecha moto termina impactando lateral delantero derecho vh produce caida dos ocupantes incorporan propios medios ,girando izquierda venia yrigoyen ingresar calle san nicolas transito mano contraria encontraba detenido transito dan paso casi ingresando san nico moto sobrepasa vhs detenidos dan paso derecha moto termina impactado lateral delantero derecha vh produce caida dos ocupantes incorporan propios medios,girando izquierda venia yrigoyen ingresar calle san nicolas transito mano contraria encontraba detenido transito dan paso casi ingresando san moto sobrepasa vhs detenidos dan paso derecha moto termina impactado lateral delantero derecha vh produce caida dos ocupantes incorporan propios medios,comprometida
aa    ,circulaba av hiplito yrigoyen llegar interseccion esteban arce pude frenar colisiono conmi frente parte trasera tercero antecedia chevrolet celta lcx vez desplaza hacia adelante embistendo frente parte trasera b antecedia renault logan nkg conductor dolor cuello acompananate dolor espalda celta indican lesiones asiste ambulancia dirigimos cria alte brown b longchamps rodado logan lesiones dado viajabamos solos,circulaba av hiplito yrigoyen llegar interseccion esteban arce pude frena colisiono conmi frente parte trasera tercero antecedia chevrolet celta lcx vez desplaza habia delante embiste frente parte trasera b antecedia renault logan nkg conductor dolor cuello acompanante dolor espalda celta indican lesiones asiste ambulancia dirigimos cria alte brown b longchamps rodado logan lesiones dado viajabamos solo,circulaba av yrigoyen llegar interseccion esteban arce pude frena colisiono frente parte trasera tercero antecedia chevrolet celta vez desplaza habia delante embiste frente parte trasera b antecedia renault logan conductor dolor cuello acompanante dolor espalda celta lesiones asiste ambulancia cria alte brown b longchamps rodado logan lesiones dado solo,comprometida
am    ,vh aseg circualndo sastre vh tercero circulando helguera interseccion ambas calles vh aseg colisiona parte delnatera vh tercero ocupante cae suelo trasnadado ambulanciaamplimos aseguradodemoraron auto hicieron alcoholemia tercero prioridad paso asegurado embistenteaun formalizo denuncia tercero trasladado ambulancia dieron alta misma noche sabe dieron puntos piernanos remite copia registro conducir ok pasa contacto padre tercero,vh aseg circualndo sastre vh tercero circulando helguera interseccion ambos calles vh aseg colisiona parte delantera vh tercero ocupante cae suelo trasladado ambulanciaamplimos aseguradodemoraron auto hicieron alcoholemia tercero prioridad paso asegurado embistenteaun formalizo denuncia tercero trasladado ambulancia dieron alta mismo noche sabe dieron puntos piernanos remite copia registro conducir ok pasa contacto parte tercero,vh aseg vh tercero circulando helguera interseccion ambos calles vh aseg colisiona parte delantera vh tercero ocupante cae suelo trasladado auto hicieron alcoholemia tercero prioridad paso asegurado formalizo denuncia tercero trasladado ambulancia dieron alta mismo sabe dieron puntos copia registro conducir pasa contacto parte tercero,comprometida
am    ,circulaba buenos aires llego rio d moto venia ultima lado izquierdo cruza adelante puedo evitar chocarlo parte delantera chico moto cae recuerdo si venia casco simple vista dolia pie quiso ser atendido ,circulaba buenos aires llego rio d moto venia ultima lado izquierdo cruza delante puedo evitar chocarlo parte delantera choco moto cae recuerdo si venia casco simple vista dolia pie quiso ser atendido,circulaba buenos aires llego rio d moto venia ultima lado izquierdo cruza delante puedo evitar chocarlo parte delantera choco moto cae recuerdo si venia casco simple vista dolia pie quiso ser atendido,comprometida
am    ,vh aseg emprender marcha semaforo verde av alcortacolisiona paragolpe delantero parte trasera terceroque encontraba detenido mismaun ocupantecon cascose cae pisono ,vh aseg emprender marcha semaforo verde av alcortacolisiona paragolpe delantero parte trasera terceroque encontraba detenido mismaun ocupante cascose cae piso,vh aseg emprender marcha semaforo verde av paragolpe delantero parte trasera terceroque encontraba detenido ocupante cascose cae piso,comprometida
am    ,vh encontraba estacionado abrir levemente puerta acompanante moto circulaba alta velocidad impacta misma unico oicupante moto cae piso llevaba casco tenia lesiones visibles llamo same traslada tercero precaucion ,vh encontraba estacionado abrir levemente puerta acompanante moto circulaba alta velocidad impacta mismo unico ocupante moto cae piso llevaba casco tenia lesiones visibles llamo same trasladado tercero precaucion,vh encontraba estacionado abrir levemente puerta acompanante moto circulaba alta velocidad impacta mismo unico ocupante moto cae piso llevaba casco tenia lesiones visibles llamo same trasladado tercero,comprometida
aa    ,redgreenlue circulando don bosco frenar imprevistamente coche adelante produjo colisin baja velocidad frente parte posterior baden desplazamientos tercero manifest dolencias trasladado hospital escobar parte medico indico presentaba lesiones ,redgreenlue circulando don bosco frena imprevistamente coche delante produjo colision baja velocidad frente parte posterior baden desplazamientos tercero manifest dolencias trasladado hospital escobar parte medios indico presentaba lesiones,redgreenlue circulando don bosco frena imprevistamente coche delante produjo colision baja velocidad frente parte posterior desplazamientos tercero manifest dolencias trasladado hospital escobar parte medios indico presentaba lesiones,comprometida
am    ,asegurado circulaba calle carabelas cruzar calle ramella colisionado lateral izquierda tercero moto circulaba ultima calle mencionada persona moto casco colocado cayo asfalto ayudado levantarse vecinos hizo presente ambulancia policia trasladado hospital quilmes desplazamientos,asegurado circulaba calle carabelas cruzar calle ramella colisionado lateral izquierda tercero moto circulaba ultima calle mencionada persona moto casco colocado cayo asfalto ayudado levanta vecinos hizo presente ambulancia policia trasladado hospital quilmes desplazamientos,asegurado circulaba calle cruzar calle colisionado lateral izquierda tercero moto circulaba ultima calle mencionada persona moto casco colocado cayo asfalto ayudado levanta hizo presente ambulancia policia trasladado hospital quilmes desplazamientos,discutida
aci   ,vh aseg estacionado abrir puerta conductor impacto bicicleta circulaba alli desplazamientos lesionados bici persona casco levanta retira medios ,vh aseg estacionado abrir puerta conductor impacto bicicleta circulaba alli desplazamientos lesionados bici persona casco levanta retira medios,vh aseg estacionado abrir puerta conductor impacto bicicleta circulaba alli desplazamientos lesionados bici persona casco levanta retira medios,comprometida
am    ,circulando derqui llegar julio lopez calle achica hace mano cruzar aparece moto produce colicion persono iva sola cae piso desplazamientos,circulando derqui llegar julio lopez calle achica hace mano cruzar aparece moto produce colision persona iva sola cae piso desplazamientos,circulando derqui llegar julio lopez calle hace mano cruzar aparece moto produce colision persona iva sola cae piso desplazamientos,comprometida
am    ,vehiculo asegurado giraba derecha av rivadavia embestido moto pasa derecha puerta delantera derecha motociclista caese levanta mediosllevaba cascono acepta ,vehiculo asegurado giraba derecha av rivadavia embestido moto pasa derecha puerta delantera derecha motociclista caese levanta mediosllevaba cascono acepta,vehiculo asegurado giraba derecha av rivadavia embestido moto pasa derecha puerta delantera derecha motociclista caese levanta mediosllevaba cascono acepta,comprometida
aca   ,vehiculo asegurado circulaba av san joseembiste moto patente mano izquierdacon paragolpe delantero derecho cano escapeel motociclista acompanante caenel moticlcista levanto mediosla acompanante cordonel conductor llamo sameluego same llaman confirmar direccion desiste pedido motociclista acompanantesolo motociclista llevaba cascono brindan datos retirandose ambos motose acercaron ver sucedio peatones pasaban asegurada conducia yonathan d ,vehiculo asegurado circulaba av san joseembiste moto patente mano izquierdo paragolpe delantero derecha cano escapeel motociclista acompanante caen moticlcista levanta medios acompanante cordonel conductor llamo sameluego same llaman confirmar direccion desiste pedido motociclista acompanante motociclista llevaba cascono brindan datos retirandose ambos motose acercaron ver sucedio peatones pasaban asegurado conducia yonathan d,vehiculo asegurado circulaba av san moto patente mano izquierdo paragolpe delantero derecha cano motociclista acompanante caen levanta medios acompanante conductor llamo same llaman confirmar direccion motociclista acompanante motociclista llevaba cascono datos retirandose ambos ver peatones asegurado conducia d,concurrente
nan,vehiculo asegurado circulando salguero cruza semaforo rojo segun manifiesta aparentemente quedo dormido colisiona parte delantera izquierda parte delantera tercero circulaba corrientes raiz golpe taxista sube vereda golpea local ,vehiculo asegurado circulando salguero cruza semaforo rojo segun manifiesta aparentemente quedo dormido colisiona parte delantera izquierda parte delantera tercero circulaba corrientes raiz golpe taxista sube vereda golpea local,vehiculo asegurado circulando salguero cruza semaforo rojo segun manifiesta aparentemente quedo dormido colisiona parte delantera izquierda parte delantera tercero circulaba corrientes raiz golpe sube vereda golpea local,comprometida
am    ,vh aseg circulando cordoba vh tercero circulando juan b justo iterseccion ambas vias vh tercero colisiona parte delantyera parte lat derecha lesioandos deplzamientos asegurada gira hacia izquierda giro permitido juan b justo hacia cordoba acompanante vh tercero resulta lesionado impacto trasladado centro asistencial,vh aseg circulando cordoba vh tercero circulando juan b justo iterseccion ambos vias vh tercero colisiona parte delantera parte lat derecha lesioandos desplazamientos asegurado gira habia izquierda giro permitido juan b justo habia cordoba acompanante vh tercero resulta colisionado impacto trasladado centro asistencial,vh aseg circulando cordoba vh tercero circulando juan b justo ambos vias vh tercero colisiona parte delantera parte lat derecha lesioandos desplazamientos asegurado gira habia izquierda giro permitido juan b justo habia cordoba acompanante vh tercero resulta colisionado impacto trasladado centro asistencial,comprometida
am    ,vh asegurado circulando charcas esquina eduardo costa cuanto moto personas frenan delante colisiona caen ambos ocupantes ,vh asegurado circulando charcas esquina eduardo costado cuanto moto personas frena delante colisiona caen ambos ocupantes,vh asegurado circulando esquina eduardo costado cuanto moto personas frena delante colisiona caen ambos ocupantes,comprometida
am    ,entrando vehiculo garage calle metan choca moto lateral derechosin lesioneshubo ,entrando vehiculo garage calle metan choca moto lateral derechosin lesiones,entrando vehiculo garage calle choca moto lateral lesiones,comprometida
am    ,vh aseg retoma marcha calle dr luis belaustegui comienza doblar izq giro izq colocado moto detenida izq retoma marcha choca lateral izq parte delanteraterrero solo ocupante casco cae suelo poseis raspada pierna deplazamiento ,vh aseg retoma marcha calle dr luis belaustegui comienza doblar izq giro izq colocado moto detenida izq retoma marcha choca lateral izq parte delanteraterrero solo ocupante casco cae suelo poseis raspada pierna desplazamientos,vh aseg retoma marcha calle dr luis belaustegui comienza doblar izq giro izq colocado moto detenida izq retoma marcha choca lateral izq parte solo ocupante casco cae suelo pierna desplazamientos,comprometida
aci   ,vh asegurado detenido esperando avanzar toca rueda trasera derecha persona bicicleta ocasionandole lesiones pie derecho tipo raspon asegurado traslada centro medico barrio santa marta ,vh asegurado detenido esperando avanzar toca rueda trasera derecha persona bicicleta ocasionandole lesiones pie derecha tipo raspon asegurado trasladado centro medios barrio santa marta,vh asegurado detenido esperando avanzar toca rueda trasera derecha persona bicicleta lesiones pie derecha tipo raspon asegurado trasladado centro medios barrio santa,comprometida
aa    ,asegurado circulando av lincoln cruzando calle joaquin v gonzalez colisionado lateral delantero derecho parte delantera tercero circulaba calle joaquin v gonzalez desplazamientos lesiones,asegurado circulando av lincoln cruzando calle joaquin v gonzalez colisionado lateral delantero derecha parte delantera tercero circulaba calle joaquin v gonzalez desplazamientos lesiones,asegurado circulando av lincoln cruzando calle joaquin v gonzalez colisionado lateral delantero derecha parte delantera tercero circulaba calle joaquin v gonzalez desplazamientos lesiones,concurrente
am    ,asegurado circulando av balbin gira izquierda tomar calle arias luego cruzar boulevard balbin impactado lateral delantero derecho tercero moto circulaba av balbin derecha sobrepaso derecha tercero habria dado paso previamente asegurado moto sola persona casco cae asfalto ,asegurado circulando av balbin gira izquierda tomar calle atras luego cruzar boulevard balbin impactado lateral delantero derecha tercero moto circulaba av balbin derecha sobrepaso derecha tercero habia dado paso previamente asegurado moto sola persona casco cae asfalto,asegurado circulando av balbin gira izquierda tomar calle atras luego cruzar boulevard balbin impactado lateral delantero derecha tercero moto circulaba av balbin derecha sobrepaso derecha tercero habia dado paso previamente asegurado moto sola persona casco cae asfalto,comprometida
aa    ,encontraba detenido sarmiento nortesur abre semaforo arranco vh tenia adealnte avanzo tal motivo impacte frente parte trasera ro remis presentaba danos previos zona impacto ambas opticas traseras tenia danadas paragolpe tapa baul tenia danos previos vh involucrados lesiones datos tercero migues nestor aldo fiat fwb amca,encontraba detenido sarmiento nortesur abre semaforo arranco vh tenia delante avanzo tal motivo impacto frente parte trasera ro remis presentaba datos previos zona impacto ambos opticas trasera tenia danadas paragolpe tapa baul tenia datos previos vh involucrados lesiones datos tercero migues nestor aldo fiat fwb amca,encontraba detenido sarmiento abre semaforo arranco vh tenia delante avanzo tal motivo impacto frente parte trasera ro remis presentaba datos previos zona impacto ambos opticas trasera tenia paragolpe tapa baul tenia datos previos vh involucrados lesiones datos tercero nestor fiat,comprometida
am    ,vh asgeurado circulando calle arias cruzar bocacalle paunero colisinado tercero circulando ultima moto lateral trasera izquierda tercero solo moto cae piso presento dolencia partes inferiores ,vh asegurado circulando calle atras cruzar bocacalle paunero colisionado tercero circulando ultima moto lateral trasera izquierda tercero solo moto cae piso presento dolencia parte inferiores,vh asegurado circulando calle atras cruzar bocacalle paunero colisionado tercero circulando ultima moto lateral trasera izquierda tercero solo moto cae piso presento dolencia parte,discutida
aa    ,circulaba calle paunero cruzando calle coronel suarez auto circulaba ultmima gran velocidad colisiona parte delantera lateral trasero izquierdo haciendo auto gire casi grados mismo eje causa impacto asegurado venia acompanante sufre lesiones cervical espalda tercero negaba brindar datos base llama polica ambulancia desplazamiento,circulaba calle paunero cruzando calle coronel suarez auto circulaba ultima gran velocidad colisiona parte delantera lateral trasero izquierdo haciendo auto gire casi grados mismo eje causa impacto asegurado venia acompanante sufre lesiones cervical espalda tercero negaba brindar datos base llama polica ambulancia desplazamientos,circulaba calle paunero cruzando calle coronel suarez auto circulaba ultima gran velocidad colisiona parte delantera lateral trasero izquierdo haciendo auto gire casi mismo causa impacto asegurado venia acompanante sufre lesiones cervical espalda tercero brindar datos llama polica ambulancia desplazamientos,discutida
aa    ,vh asegurado circulando parral llegar interseccion ambrosetti semaforo vh tercero colisiona parte frontal lateral derecho vh asegurado ,vh asegurado circulando parral llegar interseccion ambrosetti semaforo vh tercero colisiona parte frontal lateral derecha vh asegurado,vh asegurado circulando llegar interseccion semaforo vh tercero colisiona parte frontal lateral derecha vh asegurado,concurrente
am    ,iba auto calle tabarem llego esquina calle carlos reyles moto venia delante frena golpe cruza perro da tiempo esquiba choco ,iba auto calle tabarem llego esquina calle carlos reyles moto venia delante frena golpe cruza perro da tiempo esquiba choco,iba auto calle llego esquina calle carlos moto venia delante frena golpe cruza perro da tiempo choco,comprometida
aci   ,vh asegurado circulando esquina calle vergara cruza bicicleta colisiona parte delantera rueda delantera tercero tercero presento lesiones aparentes manifesto dolencia pierna derecha ,vh asegurado circulando esquina calle vergara cruza bicicleta colisiona parte delantera rueda delantera tercero tercero presento lesiones aparentes manifesto dolencia pierna derecha,vh asegurado circulando esquina calle vergara cruza bicicleta colisiona parte delantera rueda delantera tercero tercero presento lesiones aparentes manifesto dolencia pierna derecha,comprometida
peaton,aseg maniobrando salir estacion servicio impacta tercero parado vereda misma parte delantera peaton cae piso lesiones visibles ,aseg maniobro salir estacion servicio impacta tercero parado vereda mismo parte delantera peaton cae piso lesiones visibles,aseg maniobro salir estacion servicio impacta tercero parado vereda mismo parte delantera peaton cae piso lesiones visibles,comprometida
am    ,asegurado saliendo supermercado ingresando av cno gral belgrano moto circulaba misma contrario impacta parte delantera vehiculo asegurado ocupante casco puesto cae piso trasladan ambulancia hospital lesiones visibles ,asegurado saliendo supermercado ingresando av cno gral belgrano moto circulaba mismo contrario impacta parte delantera vehiculo asegurado ocupante casco puesto cae piso trasladado ambulancia hospital lesiones visibles,asegurado saliendo supermercado ingresando av cno gral belgrano moto circulaba mismo contrario impacta parte delantera vehiculo asegurado ocupante casco puesto cae piso trasladado ambulancia hospital lesiones visibles,comprometida
am    ,vehculo asegurado circulaba calle concordia cruzar interseccin calle pedro moran impactado parte delantera izquierda moto circulaba daltima calle mencionada desplazamientosmoto ocupante casco cay piso manifest dolencias int medica int policial retir medioscel aseg ,vehiculo asegurado circulaba calle concordia cruzar interseccin calle pedro moran impactado parte delantera izquierda moto circulaba daltima calle mencionada desplazamientos ocupante casco cayo piso manifest dolencias int medica int policial retiro medios aseg,vehiculo asegurado circulaba calle concordia cruzar interseccin calle pedro impactado parte delantera izquierda moto circulaba daltima calle mencionada desplazamientos ocupante casco cayo piso manifest dolencias int medica int policial retiro medios aseg,concurrente
am    ,asegurado inicia marcha salida semaforo av bulrich tras cruzar av santa fe moto solo ocupante casco circulaba derecha colisiona lateral derecho asegurado moto cae piso motociclista presentaba lesiones visibles trasladado ambulancia same hospital rivadavia control relacion caso ,asegurado inicia marcha salida semaforo av bulrich atras cruzar av santa fe moto solo ocupante casco circulaba derecha colisiona lateral derecha asegurado moto cae piso motociclista presentaba lesiones visibles trasladado ambulancia same hospital rivadavia control relacion caso,asegurado inicia marcha salida semaforo av atras cruzar av santa fe moto solo ocupante casco circulaba derecha colisiona lateral derecha asegurado moto cae piso motociclista presentaba lesiones visibles trasladado ambulancia same hospital rivadavia control caso,comprometida
am    ,encontraba ciruclando calle ayacucho llegar interseecion chacabuco dispongo girara hacia izquierda tomar ultima calle poniendo luz giro correspondiente realizando giro moto circulando alta velocidad pretende sobrepasarme izquierda pese tener luz giro puesta produciendose contacto parte lateral delantera derecha moto lateral izquierdo cayendo unico tripulante moto suelo ,encontraba ciruclando calle ayacucho llegar interseecion chacabuco dispongo girara habia izquierda tomar ultima calle poniendo luz giro correspondiente realizando giro moto circulando alta velocidad pretende sobrepasarme izquierda pese tener luz giro puesto produciendose contacto parte lateral delantera derecha moto lateral izquierdo cayendo unico tripulante moto suelo,encontraba ciruclando calle ayacucho llegar chacabuco dispongo habia izquierda tomar ultima calle poniendo luz giro correspondiente realizando giro moto circulando alta velocidad pretende sobrepasarme izquierda pese tener luz giro puesto contacto parte lateral delantera derecha moto lateral izquierdo cayendo unico tripulante moto suelo,comprometida
peaton,estacionado rotta maniobra salir marcha atras atropella peaton circulando detras vehiculo peaton cayo piso ,estacionado rotta maniobra salir marcha atras atropella peaton circulando detras vehiculo peaton cayo piso,estacionado maniobra salir marcha atras peaton circulando detras vehiculo peaton cayo piso,comprometida
peaton,estacionado asegurado hace marcha atras toca mujer cae,estacionado asegurado hace marcha atras toca mujer cae,estacionado asegurado hace marcha atras toca mujer cae,comprometida
cicl  ,iba circulando calle washington blanco encalada hacia olazabal dos autos mitad cuadra baja menor bicicleta circulando contrario iba intento frenar cerca pude hacerlo menor iba casco colisiona cabeza parabrisas provocandole lastimadura ,iba circulando calle washington blanco encalada habia olazabal dos datos mitad cuadra baja menor bicicleta circulando contrario iba intento frena cerca pude hacerlo menor iba casco colisiona cabeza parabrisas provocandole lastimadura,iba circulando calle blanco encalada habia olazabal dos datos mitad cuadra baja menor bicicleta circulando contrario iba intento frena cerca pude hacerlo menor iba casco colisiona cabeza parabrisas provocandole,concurrente
